Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,ConferenceWins,ConferenceLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Season
251,Rider,31,10,21,0.323,-18.32,-10.74,6,14,4,9,4,10,1848,2083,1265,670,1644,0.408,207,664,0.312,301,405,0.743,238,966,454,192,96,547,489,2022-2023
252,Robert Morris,30,11,19,0.367,-11.4,-4.36,5,15,9,7,2,12,1733,1835,1200,624,1789,0.349,159,583,0.273,326,468,0.697,328,1042,345,253,49,426,559,2022-2023
253,Rutgers,32,12,20,0.375,2.22,12.79,5,13,10,7,1,9,2021,2359,1285,715,1785,0.401,137,456,0.3,454,594,0.764,367,1150,345,241,136,622,534,2022-2023
254,Sacramento State,33,25,8,0.758,6.85,-1.78,13,5,11,2,9,6,2261,1976,1330,809,1739,0.465,293,762,0.385,350,482,0.726,319,1183,425,171,114,486,540,2022-2023
255,Sacred Heart,33,19,14,0.576,-11.02,-12.95,12,4,11,6,7,7,2056,1957,1320,752,1974,0.381,170,636,0.267,382,579,0.66,415,1229,345,313,105,511,609,2022-2023
256,Saint Francis (PA),29,7,22,0.241,-25.95,-11.44,6,10,5,7,2,15,1508,1929,1165,558,1536,0.363,104,409,0.254,288,447,0.644,341,1066,269,162,60,603,462,2022-2023
257,Saint Joseph's,31,20,11,0.645,6.02,0.05,9,7,12,4,7,6,2061,1876,1255,755,1753,0.431,188,575,0.327,363,472,0.769,293,1073,473,185,102,403,422,2022-2023
258,Saint Louis,35,17,18,0.486,2.28,3.63,10,6,9,5,4,11,2417,2464,1410,890,2231,0.399,181,675,0.268,456,590,0.773,499,1399,486,329,186,607,605,2022-2023
259,Saint Mary's (CA),31,13,18,0.419,-0.64,3.65,6,12,5,10,7,7,1968,2101,1255,724,1784,0.406,208,633,0.329,312,440,0.709,321,1126,433,194,100,537,524,2022-2023
260,Saint Peter's,30,0,30,0,-28.33,-9.56,0,20,0,12,0,17,1507,2070,1211,532,1528,0.348,152,482,0.315,291,443,0.657,273,971,282,222,53,677,489,2022-2023
261,Sam Houston,30,13,17,0.433,-4.48,-0.69,8,10,6,6,6,10,2039,2059,1215,732,1952,0.375,172,539,0.319,403,608,0.663,513,1228,348,243,99,490,558,2022-2023
262,Samford,30,13,17,0.433,-10.34,-4.41,7,7,8,5,5,10,1967,2028,1210,732,1676,0.437,180,544,0.331,323,484,0.667,292,1064,412,226,79,503,483,2022-2023
263,San Diego,33,19,14,0.576,4.09,4.4,11,7,12,6,6,6,2062,2044,1330,756,1937,0.39,106,398,0.266,444,625,0.71,465,1256,414,268,112,459,594,2022-2023
264,San Diego State,34,23,11,0.676,7.88,2.45,12,6,15,3,6,7,2227,1948,1360,838,1926,0.435,186,525,0.354,365,518,0.705,296,1117,498,318,101,468,579,2022-2023
265,San Francisco,32,19,13,0.594,4.03,3.37,9,9,13,6,6,6,2180,2095,1291,785,2009,0.391,239,738,0.324,371,518,0.716,372,1206,467,251,75,456,558,2022-2023
266,San Jose State,31,6,25,0.194,-8.9,0.98,3,15,3,11,2,12,1791,2097,1245,649,1733,0.374,139,465,0.299,354,524,0.676,365,1038,255,294,56,562,664,2022-2023
267,Santa Clara,32,15,17,0.469,4.02,2.62,6,12,8,8,5,8,2283,2137,1295,840,1951,0.431,235,755,0.311,368,474,0.776,324,1113,467,202,99,411,528,2022-2023
268,Seattle,30,6,24,0.2,-11.2,-0.73,5,13,2,11,3,12,1792,2106,1210,630,1681,0.375,199,648,0.307,333,478,0.697,332,1046,357,193,85,597,573,2022-2023
269,Seton Hall,34,19,15,0.559,12.51,10.39,10,10,10,6,6,7,2422,2350,1365,912,2068,0.441,194,627,0.309,404,515,0.784,356,1194,499,282,98,463,510,2022-2023
270,Siena,32,19,13,0.594,-7.85,-11.98,12,8,11,5,6,7,2174,2042,1290,805,1967,0.409,199,637,0.312,365,522,0.699,445,1280,440,300,86,584,580,2022-2023
271,South Alabama,30,7,23,0.233,-19.07,-6.73,3,15,6,9,1,13,1658,1972,1210,584,1733,0.337,184,679,0.271,306,483,0.634,341,1103,319,212,55,506,509,2022-2023
272,South Carolina,37,36,1,0.973,44.26,15.7,16,0,17,0,13,0,2972,1915,1490,1120,2425,0.462,163,525,0.31,569,826,0.689,679,1830,614,248,326,468,539,2022-2023
273,South Carolina State,30,3,27,0.1,-31.59,-9.03,2,12,2,8,1,17,1405,2082,1200,504,1533,0.329,112,518,0.216,285,468,0.609,294,973,261,204,49,610,442,2022-2023
274,South Carolina Upstate,31,11,20,0.355,-24.35,-11.8,7,11,8,7,2,12,1639,1966,1240,584,1580,0.37,131,481,0.272,340,489,0.695,287,1141,310,206,56,694,507,2022-2023
275,South Dakota,30,14,16,0.467,-6.84,-3.13,10,8,7,8,7,5,2094,2071,1205,713,1714,0.416,250,697,0.359,418,538,0.777,294,1067,431,196,73,417,517,2022-2023
276,South Dakota State,35,29,6,0.829,19.4,1.63,18,0,13,1,9,3,2742,2120,1405,975,2060,0.473,236,679,0.348,556,771,0.721,387,1423,586,261,137,473,518,2022-2023
277,South Florida,34,27,7,0.794,18.86,8.68,15,1,14,1,10,2,2385,2039,1375,864,1951,0.443,223,637,0.35,434,589,0.737,423,1388,511,178,116,517,491,2022-2023
278,Southeast Missouri State,31,16,15,0.516,-10.9,-7.43,10,8,11,3,4,10,1909,1960,1245,677,1777,0.381,145,504,0.288,410,571,0.718,338,1010,355,325,91,571,627,2022-2023
279,Southeastern Louisiana,31,21,10,0.677,-3.64,-6.82,14,4,11,1,8,9,1924,1730,1250,731,1811,0.404,131,447,0.293,331,492,0.673,327,1084,359,282,108,399,446,2022-2023
280,Southern,33,18,15,0.545,-10.75,-5.49,12,6,10,2,5,12,1898,1990,1325,707,1868,0.378,168,495,0.339,316,562,0.562,343,1051,335,295,59,506,683,2022-2023
281,Southern California,31,21,10,0.677,22.21,13.05,11,7,15,2,6,5,1991,1707,1280,693,1829,0.379,192,589,0.326,413,566,0.73,419,1211,428,273,181,478,477,2022-2023
282,Southern Illinois,31,12,19,0.387,-1.17,0.41,8,12,6,9,5,8,2275,2324,1240,862,1995,0.432,175,526,0.333,376,544,0.691,368,1103,473,307,149,454,650,2022-2023
283,SIU Edwardsville,31,9,22,0.29,-18.4,-5.04,7,11,5,7,3,13,1983,2397,1245,685,1821,0.376,184,619,0.297,429,586,0.732,382,1113,387,235,74,630,630,2022-2023
284,Southern Indiana,29,12,17,0.414,-12.97,-9.51,6,12,8,6,4,11,1884,1851,1166,666,1642,0.406,138,455,0.303,414,535,0.774,346,1107,415,245,88,606,527,2022-2023
285,Southern Methodist,30,17,13,0.567,9.54,4.97,7,8,13,2,3,10,1887,1750,1210,724,1760,0.411,112,408,0.275,327,463,0.706,357,1163,444,251,115,479,446,2022-2023
286,Southern Mississippi,31,21,10,0.677,-3.51,-5.06,13,5,11,4,8,5,2003,1903,1255,744,1776,0.419,118,387,0.305,397,557,0.713,419,1206,384,289,56,546,570,2022-2023
287,Southern Utah,33,23,10,0.697,1.8,1.83,16,2,13,1,7,9,2266,2192,1345,836,1935,0.432,166,559,0.297,428,574,0.746,370,1373,464,143,163,553,475,2022-2023
288,St. Bonaventure,32,6,26,0.188,-17.27,-1.83,3,13,4,10,2,13,1665,2159,1280,592,1715,0.345,190,663,0.287,291,417,0.698,279,1034,302,216,120,554,519,2022-2023
289,St. Francis (NY),30,11,19,0.367,-19.32,-12.39,9,7,8,4,3,15,1723,1858,1209,620,1633,0.38,161,548,0.294,322,478,0.674,331,1081,332,178,66,517,450,2022-2023
290,St. John's (NY),32,23,9,0.719,15.03,9.31,13,7,14,3,6,4,2089,1906,1280,757,1735,0.436,202,554,0.365,373,488,0.764,335,1104,412,169,134,448,410,2022-2023
291,St. Thomas,30,13,17,0.433,-7.05,-6.05,7,11,7,6,5,10,1900,1930,1215,690,1665,0.414,193,616,0.313,327,472,0.693,301,1037,425,211,73,506,540,2022-2023
292,Stanford,35,29,6,0.829,33.91,15.99,15,3,17,2,9,3,2664,2037,1415,983,2160,0.455,240,694,0.346,458,625,0.733,490,1599,572,205,251,470,530,2022-2023
293,Stephen F. Austin,34,27,7,0.794,11.03,-1.63,15,3,14,2,8,4,2560,2065,1370,908,1956,0.464,223,667,0.334,521,741,0.703,427,1309,565,329,129,554,596,2022-2023
294,Stetson,33,13,20,0.394,-9.39,-4.43,6,12,8,8,3,10,1961,2018,1320,709,1801,0.394,143,540,0.265,400,612,0.654,345,1078,375,275,49,528,531,2022-2023
295,Stonehill,29,9,20,0.31,-20.51,-14.26,5,11,5,8,4,11,1739,1903,1165,630,1614,0.39,179,581,0.308,300,412,0.728,307,1026,409,118,76,438,435,2022-2023
296,Stony Brook,31,18,13,0.581,-3.84,-5.94,11,7,11,3,4,9,2104,2039,1240,770,1906,0.404,204,655,0.311,360,492,0.732,397,1137,361,233,77,448,410,2022-2023
297,Syracuse,33,20,13,0.606,16.84,10.5,9,9,15,3,5,9,2449,2240,1320,918,2183,0.421,195,621,0.314,418,578,0.723,483,1344,463,339,128,490,472,2022-2023
298,Tarleton State,29,8,21,0.276,-10,-2.41,2,16,7,7,1,12,1825,1953,1186,616,1643,0.375,189,616,0.307,404,568,0.711,283,959,347,239,70,473,533,2022-2023
299,TCU,31,8,23,0.258,5.22,13.45,1,17,7,11,0,11,1861,2116,1240,645,1727,0.373,179,591,0.303,392,617,0.635,288,1021,381,263,101,517,534,2022-2023
300,Temple,29,11,18,0.379,3.57,6.54,6,10,8,6,3,11,1831,1917,1165,661,1764,0.375,174,562,0.31,335,459,0.73,352,1077,374,217,123,452,550,2022-2023
301,Tennessee,37,25,12,0.676,28.66,17.52,13,3,16,4,6,4,2852,2440,1490,1058,2360,0.448,198,630,0.314,538,752,0.715,552,1586,583,263,126,566,650,2022-2023
302,Tennessee State,29,11,18,0.379,-17.31,-8.58,6,11,8,6,3,11,1920,2069,1165,702,1710,0.411,109,404,0.27,407,609,0.668,356,998,295,293,90,549,546,2022-2023
303,Tennessee Tech,33,23,10,0.697,-3.81,-8.23,13,5,12,2,7,8,2268,2081,1320,813,1905,0.427,220,653,0.337,422,555,0.76,372,1137,509,256,87,448,585,2022-2023
304,Tennessee-Martin,30,13,17,0.433,-7.49,-7.42,8,9,6,5,6,9,1927,1929,1205,675,1639,0.412,193,612,0.315,384,488,0.787,268,907,369,296,84,510,515,2022-2023
305,Texas,36,26,10,0.722,29.59,14.18,14,4,15,3,7,4,2623,2068,1440,1002,2247,0.446,147,435,0.338,472,698,0.676,546,1426,559,326,214,548,680,2022-2023
306,Texas A&M,29,9,20,0.31,8.17,15.17,2,14,7,8,0,11,1651,1854,1160,612,1579,0.388,140,480,0.292,287,445,0.645,313,1008,345,194,99,526,541,2022-2023
307,Texas A&M-Corpus Christi,31,19,12,0.613,-5.51,-7.58,14,4,10,4,9,5,1912,1748,1245,670,1694,0.396,163,539,0.302,409,589,0.694,366,1154,448,274,79,505,550,2022-2023
308,Texas Southern,29,2,27,0.069,-21.49,-5.14,2,16,1,11,1,16,1750,2224,1174,593,1710,0.347,151,617,0.245,413,611,0.676,361,1086,291,225,98,593,620,2022-2023
309,Texas State,33,23,10,0.697,-1.52,-5.42,13,5,13,4,8,5,2226,1952,1330,800,1865,0.429,201,583,0.345,425,576,0.738,324,1166,487,269,93,467,556,2022-2023
310,Texas Tech,35,20,15,0.571,12.18,10.04,6,12,15,6,3,8,2413,2338,1430,832,1978,0.421,207,646,0.32,542,719,0.754,347,1202,426,253,89,543,659,2022-2023
311,Texas-Rio Grande Valley,30,12,18,0.4,-7.01,-1.01,6,12,8,6,4,11,1868,2026,1215,629,1820,0.346,217,761,0.285,393,538,0.73,419,1168,369,191,91,454,546,2022-2023
312,Toledo,34,29,5,0.853,10.51,1.19,16,2,14,1,10,3,2482,2165,1375,872,1935,0.451,220,649,0.339,518,662,0.782,294,1251,504,227,69,422,509,2022-2023
313,Towson,33,21,12,0.636,-2.39,-5.33,13,5,12,5,8,5,2207,2110,1320,803,1985,0.405,177,573,0.309,424,598,0.709,404,1258,376,246,104,504,561,2022-2023
314,Troy,30,17,13,0.567,1.08,-2.37,12,6,8,4,8,7,2499,2334,1223,933,2380,0.392,150,537,0.279,483,699,0.691,648,1527,414,347,115,469,610,2022-2023
315,Tulane,32,18,14,0.563,7.8,3.39,7,9,11,6,5,6,2125,1937,1291,779,1865,0.418,213,686,0.31,354,487,0.727,383,1249,468,241,86,528,457,2022-2023
316,Tulsa,30,17,13,0.567,4.43,0.59,7,9,11,4,5,7,2083,1968,1200,734,1775,0.414,295,888,0.332,320,450,0.711,275,1117,470,180,132,450,511,2022-2023
317,UAB,31,14,17,0.452,-2.4,-1.29,5,15,9,6,3,9,2201,2158,1245,755,1789,0.422,253,770,0.329,438,576,0.76,269,1120,430,155,72,480,583,2022-2023
318,UC Davis,30,16,14,0.533,-1.74,-1.02,12,7,7,6,9,5,1906,1832,1200,698,1704,0.41,240,753,0.319,270,396,0.682,288,1099,404,191,102,456,506,2022-2023
319,UC Irvine,32,25,7,0.781,2.58,-3.49,16,2,11,2,13,3,1998,1703,1320,710,1893,0.375,188,618,0.304,390,515,0.757,449,1221,410,322,107,490,473,2022-2023
320,UC Riverside,32,6,26,0.188,-9.93,-0.8,3,17,4,9,1,15,1644,1925,1300,595,1789,0.333,133,548,0.243,321,445,0.721,322,1020,312,241,85,495,485,2022-2023
321,UC San Diego,30,13,17,0.433,-6.02,-1.89,10,10,7,6,5,9,1778,1902,1200,624,1616,0.386,216,710,0.304,314,413,0.76,258,1058,385,183,81,495,480,2022-2023
322,UC Santa Barbara,33,21,12,0.636,1.19,-2.2,12,8,11,4,8,7,2206,2015,1345,767,1780,0.431,168,546,0.308,504,650,0.775,353,1213,453,216,74,535,540,2022-2023
323,UCF,29,14,15,0.483,0.66,2.25,4,11,11,5,2,9,1757,1803,1180,600,1746,0.344,148,508,0.291,409,604,0.677,456,1253,305,223,110,522,490,2022-2023
324,UCLA,37,27,10,0.73,24.93,16.87,11,7,15,3,6,5,2580,2282,1501,931,2363,0.394,245,814,0.301,473,607,0.779,541,1485,542,299,156,490,714,2022-2023
325,UNC Asheville,31,12,19,0.387,-21.79,-12.55,7,11,7,9,4,9,1778,1943,1240,645,1780,0.362,168,659,0.255,320,473,0.677,357,1123,322,231,39,540,542,2022-2023
326,UNC Greensboro,30,16,14,0.533,-12.18,-8.7,8,6,9,5,6,8,1964,1919,1211,738,1836,0.402,151,551,0.274,337,494,0.682,414,1102,356,220,105,432,492,2022-2023
327,UNC Wilmington,30,5,25,0.167,-17.7,-6.02,2,16,4,10,1,14,1608,1921,1205,597,1608,0.371,87,336,0.259,327,432,0.757,363,1089,266,200,93,596,466,2022-2023
328,UT Arlington,31,14,17,0.452,-1.19,0.68,8,10,8,6,6,7,2255,2307,1260,810,1909,0.424,113,382,0.296,522,755,0.691,378,1162,451,303,93,531,615,2022-2023
329,Utah,32,27,5,0.844,30.23,13.38,14,3,16,0,9,3,2650,2111,1285,928,1917,0.484,265,752,0.352,529,680,0.778,337,1180,585,233,108,462,564,2022-2023
330,Utah State,30,4,26,0.133,-19.43,0.33,1,17,2,12,2,13,1749,2305,1200,586,1774,0.33,194,697,0.278,383,516,0.742,313,1005,296,248,83,483,557,2022-2023
331,Utah Tech,31,19,12,0.613,-1.79,-4.48,10,8,9,4,8,6,2327,2172,1245,842,1856,0.454,310,898,0.345,333,458,0.727,255,1156,469,255,73,492,504,2022-2023
332,Utah Valley,30,6,24,0.2,-15.76,-1.72,3,15,5,9,1,14,1654,2038,1220,606,1593,0.38,141,529,0.267,301,431,0.698,246,978,413,262,59,507,512,2022-2023
333,UTEP,32,20,12,0.625,4.23,-0.14,12,8,11,3,7,7,2188,2044,1295,771,1852,0.416,173,576,0.3,473,671,0.705,397,1137,423,222,54,448,566,2022-2023
334,UTSA,32,13,19,0.406,-0.47,2.06,9,11,8,4,3,12,2073,2154,1290,774,1897,0.408,148,530,0.279,377,516,0.731,442,1291,417,214,141,581,667,2022-2023
335,Valparaiso,30,7,23,0.233,-11.7,0.13,5,15,3,12,4,10,1788,2143,1205,609,1475,0.413,220,677,0.325,350,489,0.716,186,874,341,185,46,559,600,2022-2023
336,Vanderbilt,31,12,19,0.387,8.1,11.58,3,13,9,7,3,9,2095,2203,1252,732,1790,0.409,205,596,0.344,426,574,0.742,326,982,382,261,90,466,575,2022-2023
337,Vermont,32,25,7,0.781,-3.47,-10.15,14,2,15,2,10,5,1961,1732,1285,741,1734,0.427,193,529,0.365,286,423,0.676,327,1126,447,190,113,425,436,2022-2023
338,Villanova,37,30,7,0.811,24.61,12.51,17,3,13,2,13,1,2620,2172,1480,980,2240,0.438,249,759,0.328,411,534,0.77,416,1346,615,242,208,377,587,2022-2023
339,Virginia,30,15,15,0.5,16.82,11.35,4,14,11,5,4,9,2062,1898,1200,771,1901,0.406,158,567,0.279,362,505,0.717,431,1245,456,259,125,480,555,2022-2023
340,Virginia Commonwealth,29,7,22,0.241,-5.05,0.71,4,12,4,9,1,11,1649,1816,1170,621,1655,0.375,129,478,0.27,278,398,0.698,360,1052,272,205,77,453,453,2022-2023
341,Virginia Tech,36,31,5,0.861,29.12,14.45,14,4,16,1,8,3,2607,2079,1440,931,2068,0.45,282,815,0.346,463,609,0.76,370,1350,524,190,133,488,550,2022-2023
342,Wagner,28,13,15,0.464,-16.25,-13.67,8,8,8,4,5,11,1768,1840,1126,663,1669,0.397,116,399,0.291,326,480,0.679,287,872,367,262,64,418,542,2022-2023
343,Wake Forest,34,17,17,0.5,12.55,12.76,5,13,12,5,3,9,2036,2043,1365,733,1884,0.389,227,751,0.302,343,520,0.66,349,1173,432,221,123,509,577,2022-2023
344,Washington,34,19,15,0.559,15.69,13.75,7,11,16,5,2,8,2068,2002,1375,803,2003,0.401,152,574,0.265,310,429,0.723,465,1330,465,267,137,554,472,2022-2023
345,Washington State,34,23,11,0.676,21.47,15.73,9,9,9,5,9,4,2279,2084,1375,847,1963,0.431,222,674,0.329,363,495,0.733,368,1240,509,242,148,510,542,2022-2023
346,Weber State,31,6,25,0.194,-14.32,-4.02,2,16,4,10,1,14,1767,2086,1245,593,1655,0.358,118,447,0.264,463,628,0.737,283,1090,299,211,81,551,668,2022-2023
347,West Virginia,31,19,12,0.613,15.31,10.79,10,8,13,2,3,7,2045,1905,1250,744,1910,0.39,202,719,0.281,355,501,0.709,311,1056,348,298,66,414,526,2022-2023
348,Western Carolina,30,9,21,0.3,-22.71,-8.78,2,12,7,9,2,11,1636,1959,1210,589,1592,0.37,126,449,0.281,332,509,0.652,352,1028,279,140,64,517,569,2022-2023
349,Western Illinois,30,10,20,0.333,-14.54,-6.79,5,13,6,9,4,10,2025,2195,1200,648,1821,0.356,220,780,0.282,509,676,0.753,305,1075,363,269,79,451,560,2022-2023
350,Western Kentucky,33,19,14,0.576,2.9,2.11,14,6,10,4,7,9,2312,2286,1320,796,2027,0.393,289,952,0.304,431,628,0.686,423,1103,422,389,68,495,633,2022-2023
351,Western Michigan,29,12,17,0.414,-7.12,1.23,7,11,8,5,4,12,1832,2005,1160,660,1683,0.392,205,771,0.266,307,465,0.66,278,929,363,279,74,459,463,2022-2023
352,Wichita State,33,18,15,0.545,4.74,2.29,6,10,11,4,4,10,2182,2101,1330,794,1949,0.407,126,432,0.292,468,630,0.743,418,1316,423,246,97,532,516,2022-2023
353,William & Mary,31,18,13,0.581,-7.34,-6.95,12,6,10,5,7,8,2056,2068,1260,733,1877,0.391,226,700,0.323,364,463,0.786,318,1029,432,237,82,422,529,2022-2023
354,Winthrop,30,8,22,0.267,-24.57,-15.19,6,12,6,7,2,13,1553,1794,1198,575,1522,0.378,111,404,0.275,292,440,0.664,310,987,261,273,72,567,470,2022-2023
355,Wisconsin,31,11,20,0.355,7.86,11.99,6,12,7,7,4,8,2124,2252,1250,763,1788,0.427,226,676,0.334,372,488,0.762,310,1044,499,252,117,548,510,2022-2023
356,Wofford,32,22,10,0.688,-3.14,-5.83,10,4,11,2,9,7,2230,2081,1280,802,1982,0.405,268,820,0.327,358,492,0.728,317,1052,361,247,72,330,451,2022-2023
357,Wright State,32,8,24,0.25,-14.75,-0.91,6,14,4,8,4,15,2116,2484,1280,770,1847,0.417,323,888,0.364,253,355,0.713,183,884,411,186,58,410,518,2022-2023
358,Wyoming,34,23,11,0.676,6.37,1.37,13,5,13,3,7,8,2229,1993,1370,820,1836,0.447,213,647,0.329,376,489,0.769,319,1219,495,198,129,458,491,2022-2023
359,Xavier,30,7,23,0.233,-2.51,8.19,0,20,5,12,2,10,1657,1978,1200,629,1691,0.372,137,434,0.316,262,398,0.658,315,999,393,240,109,526,529,2022-2023
360,Yale,27,13,14,0.481,-4.25,0.86,7,7,6,6,6,7,1607,1745,1092,585,1586,0.369,157,518,0.303,280,424,0.66,368,998,314,240,78,477,542,2022-2023
361,Youngstown State,30,19,11,0.633,-1.54,-6.21,13,7,12,5,7,6,2016,1785,1205,739,1717,0.43,235,752,0.313,303,450,0.673,295,1100,486,192,81,426,494,2022-2023
