Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,ConferenceWins,ConferenceLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Season
148,Long Beach State,33,23,10,0.697,2.32,-1.15,17,3,10,4,11,5,2050,1894,1320,774,1813,0.427,190,616,0.308,312,406,0.768,269,961,432,378,97,455,535,2022-2023
149,Long Island University,29,7,22,0.241,-22.2,-11.68,5,11,3,8,4,14,1643,1948,1160,596,1609,0.37,174,610,0.285,277,392,0.707,275,960,360,267,98,548,568,2022-2023
150,Longwood,30,9,21,0.3,-22.51,-9.04,8,10,6,8,3,12,1798,2202,1205,636,1760,0.361,117,438,0.267,409,563,0.726,282,961,273,264,49,513,536,2022-2023
151,Louisiana,31,16,15,0.516,-4.51,-1.79,10,8,9,5,6,7,1796,1793,1261,646,1743,0.371,122,455,0.268,382,603,0.633,394,1104,262,272,66,497,535,2022-2023
152,Louisiana State,36,34,2,0.944,35.14,10.78,15,1,17,0,8,1,2963,2086,1445,1087,2345,0.464,186,537,0.346,603,867,0.696,612,1658,538,343,183,493,566,2022-2023
153,Louisiana Tech,32,19,13,0.594,2.32,0.1,12,8,10,5,7,6,2082,1957,1295,741,1711,0.433,154,470,0.328,446,583,0.765,274,1107,403,170,92,470,497,2022-2023
154,Louisiana-Monroe,30,7,23,0.233,-18.89,-6,3,15,6,10,1,12,1948,2160,1206,726,1867,0.389,77,286,0.269,419,637,0.658,413,1245,394,216,155,518,532,2022-2023
155,Louisville,38,26,12,0.684,24.96,15.9,12,6,11,3,10,5,2785,2441,1530,1048,2329,0.45,207,601,0.344,482,640,0.753,469,1434,568,317,136,566,676,2022-2023
156,Loyola (IL),30,6,24,0.2,-8.84,0.12,1,15,2,11,2,12,1674,1943,1200,601,1651,0.364,161,544,0.296,311,418,0.744,276,915,337,217,57,437,454,2022-2023
157,Loyola (MD),31,10,21,0.323,-16.72,-10.11,4,14,5,10,5,11,1719,1924,1255,635,1647,0.386,130,442,0.294,319,451,0.707,341,1052,339,198,35,526,517,2022-2023
158,Loyola Marymount,30,7,23,0.233,-9.3,4.7,4,14,5,10,2,12,1686,2081,1205,616,1621,0.38,143,495,0.289,311,417,0.746,286,913,316,220,64,504,536,2022-2023
159,Maine,30,16,14,0.533,-6.31,-5.78,11,5,9,5,6,8,1792,1808,1205,684,1635,0.418,199,598,0.333,225,310,0.726,297,1000,393,178,83,447,437,2022-2023
160,Manhattan,33,16,17,0.485,-10.4,-11.21,10,10,8,6,4,9,1974,1947,1325,723,2006,0.36,126,485,0.26,402,568,0.708,518,1361,384,310,135,593,543,2022-2023
161,Marist,30,12,18,0.4,-13.53,-9.07,8,12,4,9,6,8,1729,1863,1205,596,1653,0.361,133,479,0.278,404,548,0.737,295,1035,348,228,106,451,382,2022-2023
162,Marquette,32,21,11,0.656,19.1,12.32,13,7,13,3,5,5,2080,1863,1290,804,1979,0.406,158,513,0.308,314,407,0.771,399,1229,527,252,91,432,464,2022-2023
163,Marshall,31,17,14,0.548,-3.12,-4.05,9,9,9,6,5,6,1975,1854,1245,730,1814,0.402,222,734,0.302,293,448,0.654,320,1123,395,219,115,403,478,2022-2023
164,Maryland,35,28,7,0.8,28.51,18.11,15,3,13,2,11,2,2770,2406,1400,1012,2263,0.447,239,656,0.364,507,645,0.786,409,1283,593,364,122,470,594,2022-2023
165,Maryland-Baltimore County,29,14,15,0.483,-14.07,-11.32,10,6,8,4,6,11,1842,1917,1165,712,1705,0.418,122,425,0.287,296,419,0.706,339,1040,314,212,85,464,465,2022-2023
166,Maryland-Eastern Shore,30,10,20,0.333,-16.84,-9.98,5,9,7,6,2,13,1830,1903,1200,653,1736,0.376,101,462,0.219,423,616,0.687,385,1113,309,261,61,555,550,2022-2023
167,Massachusetts,34,27,7,0.794,13.51,0.6,14,2,13,3,11,2,2592,2153,1370,987,2234,0.442,235,662,0.355,383,525,0.73,468,1378,617,284,89,464,509,2022-2023
168,Massachusetts-Lowell,27,5,22,0.185,-17.65,-6.54,4,12,2,11,3,11,1438,1738,1085,500,1411,0.354,124,452,0.274,314,423,0.742,280,880,257,187,95,488,447,2022-2023
169,McNeese State,31,12,19,0.387,-16.73,-7.9,8,10,8,7,4,12,2032,2169,1255,720,1758,0.41,143,504,0.284,449,662,0.678,360,1226,433,293,103,636,603,2022-2023
170,Memphis,33,22,11,0.667,12.6,6.39,11,4,11,4,10,4,2225,2020,1330,792,2076,0.382,176,581,0.303,465,712,0.653,554,1435,329,259,114,475,572,2022-2023
171,Mercer,28,12,16,0.429,-3.28,-1.59,8,6,6,7,6,6,1813,1827,1130,692,1605,0.431,133,349,0.381,296,373,0.794,264,950,290,154,93,411,483,2022-2023
172,Merrimack,31,15,16,0.484,-19.28,-12.98,10,6,9,7,6,9,1905,2045,1240,692,1815,0.381,197,657,0.3,324,465,0.697,396,1111,350,216,95,502,509,2022-2023
173,Miami (FL),35,22,13,0.629,20.25,14.25,11,7,14,4,5,7,2437,2227,1410,910,2106,0.432,184,596,0.309,433,600,0.722,444,1336,512,301,85,557,594,2022-2023
174,Miami (OH),31,12,19,0.387,-7.14,-1.58,7,11,9,7,3,10,2185,2303,1250,773,1793,0.431,193,577,0.334,446,582,0.766,314,1109,412,200,77,494,558,2022-2023
175,Michigan,33,23,10,0.697,23.9,13.78,11,7,10,4,7,5,2426,2092,1320,880,1896,0.464,195,576,0.339,471,606,0.777,343,1180,516,242,86,532,488,2022-2023
176,Michigan State,30,16,14,0.533,21.68,10.58,7,10,11,6,4,5,2347,2014,1223,838,1965,0.426,241,746,0.323,430,638,0.674,404,1170,523,327,102,433,555,2022-2023
177,Middle Tennessee,33,28,5,0.848,18.78,2.75,18,2,14,0,10,3,2424,1895,1325,823,1906,0.432,259,821,0.315,519,661,0.785,363,1228,426,273,129,396,575,2022-2023
178,Milwaukee,30,11,19,0.367,-5.07,-2.97,8,12,7,7,3,12,1763,1826,1205,670,1625,0.412,155,557,0.278,268,367,0.73,296,1070,451,156,102,497,469,2022-2023
179,Minnesota,30,11,19,0.367,8.19,10.39,4,14,9,8,1,10,2142,2208,1215,790,1939,0.407,176,551,0.319,386,526,0.734,397,1258,457,211,93,532,534,2022-2023
180,Mississippi,34,25,9,0.735,23.87,11.96,11,5,14,2,8,4,2334,1929,1376,874,2100,0.416,164,553,0.297,422,628,0.672,498,1422,419,246,174,489,620,2022-2023
181,Mississippi State,33,22,11,0.667,22.61,10.58,9,7,14,2,3,7,2345,1948,1337,874,1961,0.446,193,547,0.353,404,602,0.671,386,1323,516,292,156,525,526,2022-2023
182,Mississippi Valley State,29,2,27,0.069,-31.3,-8.37,0,18,1,10,1,15,1603,2268,1165,587,1679,0.35,141,507,0.278,288,481,0.599,310,987,319,189,87,570,513,2022-2023
183,Missouri,32,18,14,0.563,15.56,13.25,6,10,11,6,5,6,2067,1993,1280,752,1735,0.433,238,675,0.353,325,442,0.735,283,1060,433,233,75,488,561,2022-2023
184,Missouri State,32,20,12,0.625,4.88,2.79,14,6,11,4,7,6,2180,2113,1290,818,2025,0.404,136,466,0.292,408,625,0.653,520,1327,467,255,87,496,560,2022-2023
185,Monmouth,34,18,16,0.529,-7.19,-7.59,9,9,9,4,6,11,2185,2163,1365,783,1903,0.411,258,790,0.327,359,510,0.704,404,1277,447,205,125,589,498,2022-2023
186,Montana,30,14,16,0.467,-0.49,0.29,10,8,8,6,6,7,2108,2071,1220,752,1791,0.42,238,689,0.345,366,474,0.772,289,1138,407,165,100,406,405,2022-2023
187,Montana State,31,20,11,0.645,2.68,-0.18,13,5,11,3,8,5,2128,1995,1245,759,1872,0.405,167,545,0.306,443,565,0.784,350,1161,378,276,84,425,546,2022-2023
188,Morehead State,31,11,20,0.355,-19.24,-8.24,6,12,8,6,2,13,1806,2044,1240,672,1791,0.375,183,702,0.261,279,454,0.615,369,1052,365,281,81,552,570,2022-2023
189,Morgan State,29,17,12,0.586,-11.77,-10.08,10,4,11,2,6,7,1730,1675,1152,635,1720,0.369,126,490,0.257,334,478,0.699,414,1014,314,309,49,455,513,2022-2023
190,Mount St. Mary's,31,12,19,0.387,-15.7,-8.97,7,13,8,6,3,11,1782,1957,1250,638,1746,0.365,226,785,0.288,280,390,0.718,279,1008,344,241,84,502,521,2022-2023
191,Murray State,31,15,16,0.484,1.15,-0.45,7,13,8,6,6,9,2134,2043,1250,758,1761,0.43,229,649,0.353,389,493,0.789,320,1135,485,177,55,435,418,2022-2023
