season,season_name,sport_id,team_id,team_conference_name,school_id,school_name,ncaa_division,ncaa_division_formatted,player_id,player_jersey_number,player_last_name,player_first_name,player_full_name,player_class,player_position,player_height,GP,GS,sets_played,MS,kills,errors,total_attacks,hit%,assists,aces,serve_errors,digs,return_attacks,return_errors,solo_blocks,assisted_blocks,block_errors,total_blocks,points,BHE,serve_attempts,DBL_DBL,TRP_DBL,source_file
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8432707,10,Lang,Kate,Kate Lang,Sr,S,5-10,31,31,125,0.0,70,13,195,0.292,1314,23,42,323,10,2,3,29,13,0.0,110.5,1,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8435395,5,Bamis,Jacyn,Jacyn Bamis,Jr,MB,6-1,30,28,117,0.0,262,96,596,0.279,7,16,30,46,15,2,15,67,9,0.0,326.5,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8443371,16,Ikenaga,Tayli,Tayli Ikenaga,Sr,L,5-5,31,0,125,0.0,1,2,10,-0.1,140,12,17,502,454,19,0,0,0,0.0,13.0,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8442991,4,Matias,Jackie,Jackie Matias,So,S,5-9,30,1,88,0.0,5,2,13,0.231,53,9,16,39,0,0,0,0,0,0.0,14.0,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8434979,17,Alexander,Caylen,Caylen Alexander,Jr,OH,6-0,30,29,120,0.0,611,242,1427,0.259,22,30,57,292,520,41,14,43,17,0.0,676.5,2,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8970131,6,Monahan,Morghn,Morghn Monahan,Jr,MB,6-3,1,0,1,0.0,0,1,2,-0.5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8434300,9,Hakas,Tali,Tali Hakas,So,OH,5-11,31,31,125,0.0,259,109,768,0.195,30,26,20,364,471,37,6,56,13,0.0,319.0,1,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8432389,14,Mane,Tyla Reese,Tyla Reese Mane,Jr,OH,6-1,14,0,22,0.0,7,5,26,0.077,1,0,0,3,0,0,0,1,0,0.0,7.5,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8970126,2,Leyva,Victoria,Victoria Leyva,Fr,L/DS,5-8,31,26,125,0.0,2,0,3,0.667,33,24,34,250,464,26,0,0,0,0.0,26.0,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8970127,3,Arquette,Adrianna,Adrianna Arquette,Fr,S,5-10,14,2,31,0.0,15,12,50,0.06,12,2,10,31,6,0,0,4,3,0.0,19.0,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8970128,12,Sylvester,Miliana,Miliana Sylvester,Fr,MB,6-1,31,31,125,0.0,231,72,535,0.297,3,0,5,52,12,1,12,79,10,0.0,282.5,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8970130,19,Way,Maddie,Maddie Way,Fr,MB,5-11,8,2,14,0.0,22,4,41,0.439,0,1,2,0,3,0,1,4,1,0.0,26.0,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585224,Big West,277,Hawaii,1,I,8433517,1,Adeyemi,Stella,Stella Adeyemi,So,OH,5-11,31,5,120,0.0,250,113,732,0.187,6,0,1,93,341,22,3,17,2,0.0,261.5,0,0,0,0,2024_277_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8873591,14,Bartalo,Gianna,Gianna Bartalo,Sr,L/DS,5-7,32,0,114,0.0,1,3,9,-0.222,106,22,27,468,617,44,0,0,0,0.0,23.0,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8436701,17,Maeder,Annalea,Annalea Maeder,Sr,S,6-1,5,5,17,0.0,14,3,30,0.367,175,7,5,55,1,0,0,14,2,0.0,28.0,2,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8441875,9,Hamm,Ellie,Ellie Hamm,Sr,MB,6-4,15,10,44,0.0,48,23,150,0.167,3,0,1,15,10,3,5,35,2,0.0,70.5,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8438992,22,Mehrten,Ava,Ava Mehrten,Jr,OPP,6-1,19,8,47,0.0,46,21,157,0.159,1,0,0,26,0,0,0,30,1,0.0,61.0,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8431834,4,Morningstar,Paige,Paige Morningstar,Jr,S,6-0,2,0,3,0.0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8435820,7,Hayden,Mikayla,Mikayla Hayden,Jr,MB,6-1,23,23,81,0.0,172,49,380,0.324,5,0,1,19,13,2,10,53,2,0.0,208.5,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8429463,12,Lau,Natalie,Natalie Lau,Jr,S,6-0,28,27,98,0.0,29,16,116,0.112,942,15,25,247,5,0,3,33,4,0.0,63.5,2,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8440447,55,DeJardin,Peyton,Peyton DeJardin,Jr,OH,6-1,32,32,114,0.0,305,144,1078,0.149,20,26,34,263,515,50,3,34,3,0.0,351.0,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8439374,18,Li,Ashley,Ashley Li,So,OH,6-3,20,0,35,0.0,25,24,84,0.012,0,0,0,10,9,5,0,6,0,0.0,28.0,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8439236,2,Johnson,Sophia,Sophia Johnson,So,L/DS,5-9,32,6,114,0.0,1,0,2,0.5,20,23,18,282,327,15,0,0,0,0.0,24.0,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8436404,3,Li,Maggie,Maggie Li,So,OH,6-3,32,32,114,0.0,463,205,1228,0.21,18,27,36,241,683,44,2,40,7,0.0,512.0,1,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8433513,15,Thomsen,Sawyer,Sawyer Thomsen,So,MB,6-3,31,31,106,0.0,141,44,404,0.24,15,18,19,67,15,0,9,102,10,0.0,219.0,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585163,ACC,107,California,1,I,8873669,10,Mansfield,Kate,Kate Mansfield,Fr,MB,6-2,26,18,80,0.0,143,82,355,0.172,2,0,0,38,4,0,3,48,8,0.0,170.0,0,0,0,0,2024_107_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8873230,21,Foote,Addison,Addison Foote,Sr,OH,6-0,23,19,88,0.0,199,98,646,0.156,11,1,8,60,173,11,9,15,2,0.0,216.5,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8432592,22,Perry,Mara,Mara Perry,Sr,L/DS,5-8,26,3,98,0.0,15,5,66,0.152,189,21,38,345,323,16,0,1,0,0.0,36.5,2,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8442607,8,Harris,Jayda,Jayda Harris,Sr,MB,6-3,22,21,81,0.0,91,38,246,0.215,3,23,56,20,10,0,7,41,5,0.0,141.5,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8440951,6,Purichia,Anna,Anna Purichia,Jr,OH,5-10,24,18,80,0.0,158,110,509,0.094,10,0,2,26,36,5,4,17,8,0.0,170.5,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8873204,5,Poehner,Addie,Addie Poehner,Jr,L/DS,5-4,19,0,44,0.0,0,1,1,-1.0,4,4,5,27,81,9,0,0,0,0.0,4.0,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8873190,3,Smith,Erika,Erika Smith,So,MB,5-11,26,26,98,0.0,186,58,432,0.296,6,0,0,34,11,0,16,35,8,0.0,219.5,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8443275,12,VanHoy,Kylie,Kylie VanHoy,Jr,OPP,5-10,25,24,91,0.0,103,50,332,0.16,813,21,50,197,8,2,5,18,13,0.0,138.0,4,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8437611,19,Nauert,Tessa,Tessa Nauert,Jr,L/DS,5-4,26,2,96,0.0,3,2,15,0.067,29,25,32,201,406,32,0,0,0,0.0,28.0,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8431569,2,Bland,Natalie,Natalie Bland,So,OH,5-10,26,26,95,0.0,370,205,1018,0.162,18,15,37,214,465,21,5,15,4,0.0,397.5,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8434198,9,Hagan,Maddie,Maddie Hagan,So,RS,6-1,12,11,42,0.0,118,33,279,0.305,1,0,3,21,1,0,3,17,0,0.0,129.5,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8435246,23,Schmidt,Jess,Jess Schmidt,So,MB,6-5,6,2,15,0.0,6,8,24,-0.083,0,0,0,3,0,0,1,3,0,0.0,8.5,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8873263,4,Parsons,Payton,Payton Parsons,Fr,L/DS,5-4,26,4,96,0.0,4,1,20,0.15,51,17,41,280,538,22,0,0,0,0.0,21.0,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585306,ASUN,52,Bellarmine,1,I,8873271,11,Chivington,MaKenzie,MaKenzie Chivington,Fr,S,5-9,2,0,2,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2024_52_player_season_stats.csv
2024,2024-25,WVB,585442,Summit League,650,South Dakota,1,I,8430138,9,Wolff,Alaina,Alaina Wolff,Sr,DS,5-6,31,14,119,0.0,3,1,8,0.25,26,19,59,275,445,23,0,0,0,0.0,22.0,0,0,0,0,2024_650_player_season_stats.csv
2024,2024-25,WVB,585442,Summit League,650,South Dakota,1,I,8968716,6,Power,Barrett,Barrett Power,Sr,S,5-10,28,0,84,0.0,1,0,1,1.0,15,6,16,25,0,0,0,0,0,0.0,7.0,0,0,0,0,2024_650_player_season_stats.csv
2024,2024-25,WVB,585442,Summit League,650,South Dakota,1,I,8968740,15,Hlady,Cheyenne,Cheyenne Hlady,Sr,OH,6-2,31,29,110,0.0,223,93,592,0.22,2,0,0,61,3,0,3,58,8,0.0,255.0,0,0,0,0,2024_650_player_season_stats.csv
2024,2024-25,WVB,585442,Summit League,650,South Dakota,1,I,8438680,11,Sealock,Kylen,Kylen Sealock,Sr,OH,6-0,31,19,117,0.0,417,169,1094,0.227,6,2,9,94,343,30,10,31,6,0.0,444.5,0,0,0,0,2024_650_player_season_stats.csv
2024,2024-25,WVB,585442,Summit League,650,South Dakota,1,I,8441785,17,Farris,Kamryn,Kamryn Farris,Jr,DS,5-11,31,0,119,0.0,6,1,20,0.25,161,46,43,565,448,20,0,0,0,0.0,52.0,0,0,0,0,2024_650_player_season_stats.csv
2024,2024-25,WVB,585442,Summit League,650,South Dakota,1,I,8431643,1,Clancy,Caity,Caity Clancy,So,DS,5-8,19,0,55,0.0,1,0,2,0.5,14,10,17,75,210,11,0,0,0,0.0,11.0,0,0,0,0,2024_650_player_season_stats.csv
2024,2024-25,WVB,585442,Summit League,650,South Dakota,1,I,8441998,2,Van Hook,Avery,Avery Van Hook,So,S,5-9,31,31,118,0.0,106,38,263,0.259,1208,10,35,319,3,0,3,37,15,0.0,137.5,1,0,0,0,2024_650_player_season_stats.csv
2024,2024-25,WVB,585442,Summit League,650,South Dakota,1,I,8433985,14,Loschen,Amanda,Amanda Loschen,So,MB,6-2,24,16,78,0.0,161,40,403,0.3,2,0,0,18,3,1,16,55,7,0.0,204.5,0,0,0,0,2024_650_player_season_stats.csv
2024,2024-25,WVB,585442,Summit League,650,South Dakota,1,I,8430641,23,Laird,Samantha,Samantha Laird,So,OH,6-0,11,0,26,0.0,56,28,161,0.174,2,0,1,9,38,2,0,2,2,0.0,57.0,0,0,0,0,2024_650_player_season_stats.csv
2024,2024-25,WVB,585442,Summit League,650,South Dakota,1,I,8968709,4,Medeck,Lauren,Lauren Medeck,Fr,OH,6-0,31,31,119,0.0,316,158,1009,0.157,28,17,30,344,552,27,6,48,3,0.0,363.0,0,0,0,0,2024_650_player_season_stats.csv
2024,2024-25,WVB,585442,Summit League,650,South Dakota,1,I,8968715,5,Nelson,Audrey,Audrey Nelson,Fr,MB,6-0,16,15,55,0.0,100,34,273,0.242,3,0,0,12,15,0,7,30,0,0.0,122.0,0,0,0,0,2024_650_player_season_stats.csv
2024,2024-25,WVB,585442,Summit League,650,South Dakota,1,I,8968727,8,Bode,Morgan,Morgan Bode,Fr,MB,6-1,31,31,119,0.0,224,79,550,0.264,10,25,33,75,6,0,23,103,4,0.0,323.5,0,0,0,0,2024_650_player_season_stats.csv
2024,2024-25,WVB,585442,Summit League,650,South Dakota,1,I,8968735,13,Hokenstad,Cora,Cora Hokenstad,Fr,DS,5-7,21,0,61,0.0,0,0,2,0.0,11,15,16,88,177,13,0,0,0,0.0,15.0,0,0,0,0,2024_650_player_season_stats.csv
2024,2024-25,WVB,585386,The American,497,North Texas,1,I,8872764,19,Van Veen,Payton,Payton Van Veen,Jr,OH,6-3,28,24,105,0.0,270,80,766,0.248,6,25,32,116,20,1,3,62,2,0.0,329.0,0,0,0,0,2024_497_player_season_stats.csv
2024,2024-25,WVB,585386,The American,497,North Texas,1,I,8872600,5,Jones,Priscilla,Priscilla Jones,Sr,MB,6-0,26,25,86,0.0,125,38,267,0.326,8,2,5,27,6,0,13,62,7,0.0,171.0,2,0,0,0,2024_497_player_season_stats.csv
2024,2024-25,WVB,585386,The American,497,North Texas,1,I,8443442,17,Gillett,Coco,Coco Gillett,Sr,OH,5-11,26,20,98,0.0,246,92,733,0.21,20,22,27,146,519,39,9,32,4,0.0,293.0,0,0,0,0,2024_497_player_season_stats.csv
2024,2024-25,WVB,585386,The American,497,North Texas,1,I,8436832,16,Levy,Truli,Truli Levy,Sr,MB,5-11,15,10,41,0.0,42,16,100,0.26,4,0,1,10,10,1,5,37,1,0.0,65.5,0,0,0,0,2024_497_player_season_stats.csv
2024,2024-25,WVB,585386,The American,497,North Texas,1,I,8438104,23,Johnson,Aryn,Aryn Johnson,Sr,OH,5-9,28,28,105,0.0,300,148,887,0.171,13,29,44,217,693,38,1,42,6,0.0,351.0,0,0,0,0,2024_497_player_season_stats.csv
2024,2024-25,WVB,585386,The American,497,North Texas,1,I,8438760,12,Corley,Addison,Addison Corley,Sr,OPP,6-0,2,0,3,0.0,0,1,2,-0.5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2024_497_player_season_stats.csv
2024,2024-25,WVB,585386,The American,497,North Texas,1,I,8872601,10,Mooney,Paige,Paige Mooney,Jr,L/DS,5-9,19,0,69,0.0,2,0,13,0.154,47,8,11,202,383,23,0,0,0,0.0,10.0,1,0,0,0,2024_497_player_season_stats.csv
2024,2024-25,WVB,585386,The American,497,North Texas,1,I,8872591,1,Raspberry,Nylah,Nylah Raspberry,Jr,L/DS,5-6,11,0,31,0.0,0,0,4,0.0,28,0,1,70,109,9,0,0,0,0.0,0.0,0,0,0,0,2024_497_player_season_stats.csv
2024,2024-25,WVB,585386,The American,497,North Texas,1,I,8439623,9,Washington,Alexa,Alexa Washington,Jr,S,5-8,27,2,88,0.0,7,2,29,0.172,323,0,4,118,3,0,0,0,0,0.0,7.0,4,0,0,0,2024_497_player_season_stats.csv
2024,2024-25,WVB,585386,The American,497,North Texas,1,I,8442578,7,Scroggins,Kamryn,Kamryn Scroggins,Jr,S,5-9,26,25,99,0.0,28,5,87,0.264,616,22,22,255,5,0,0,10,2,0.0,55.0,6,0,0,0,2024_497_player_season_stats.csv
2024,2024-25,WVB,585386,The American,497,North Texas,1,I,8872593,2,Wheeler,Lauren,Lauren Wheeler,So,S,5-10,1,0,1,0.0,0,0,1,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,2024_497_player_season_stats.csv
2024,2024-25,WVB,585386,The American,497,North Texas,1,I,8438314,20,Fouonji,Loredana,Loredana Fouonji,So,MB,6-1,7,4,22,0.0,31,7,56,0.429,1,0,0,2,3,0,2,20,2,0.0,43.0,0,0,0,0,2024_497_player_season_stats.csv
2024,2024-25,WVB,585386,The American,497,North Texas,1,I,8441605,18,Jones,I’Onna,I’Onna Jones,Fr,MB,5-10,1,0,1,0.0,0,1,1,-1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2024_497_player_season_stats.csv
2024,2024-25,WVB,585386,The American,497,North Texas,1,I,8872838,21,Dewine,Claire,Claire Dewine,So,S,6-1,23,4,62,0.0,79,36,220,0.195,74,4,4,52,3,0,1,17,2,0.0,92.5,2,0,0,0,2024_497_player_season_stats.csv
2024,2024-25,WVB,585386,The American,497,North Texas,1,I,8873345,3,Achilles,Addison,Addison Achilles,Fr,MB,6-2,8,0,20,0.0,19,11,51,0.157,1,0,0,4,0,0,2,12,1,0.0,27.0,0,0,0,0,2024_497_player_season_stats.csv
2024,2024-25,WVB,585386,The American,497,North Texas,1,I,8873349,4,Vik,Ryann,Ryann Vik,Fr,MB,6-2,21,17,70,0.0,86,20,181,0.365,9,18,19,51,17,1,9,65,5,0.0,145.5,1,0,0,0,2024_497_player_season_stats.csv
2024,2024-25,WVB,585386,The American,497,North Texas,1,I,8873353,6,Bedell,Reagan,Reagan Bedell,Fr,OH,6-1,18,6,45,0.0,70,34,192,0.188,6,5,11,58,178,12,1,13,1,0.0,82.5,0,0,0,0,2024_497_player_season_stats.csv
2024,2024-25,WVB,585386,The American,497,North Texas,1,I,8873364,8,Scrivner,Madison,Madison Scrivner,Fr,S,5-8,26,1,92,0.0,0,0,1,0.0,22,21,32,85,83,7,0,0,0,0.0,21.0,1,0,0,0,2024_497_player_season_stats.csv
2024,2024-25,WVB,585386,The American,497,North Texas,1,I,8873372,22,Tennoey,Julia,Julia Tennoey,Fr,OH,6-1,14,2,26,0.0,2,2,4,0.0,0,2,4,7,6,1,0,0,0,0.0,4.0,0,0,0,0,2024_497_player_season_stats.csv
2024,2024-25,WVB,585214,Atlantic 10,249,George Washington,1,I,8964149,3,Watkins,Kelsey,Kelsey Watkins,Sr,MB,5-11,9,8,34,0.0,28,10,68,0.265,2,4,7,9,3,0,6,20,1,0.0,48.0,0,0,0,0,2024_249_player_season_stats.csv
2024,2024-25,WVB,585214,Atlantic 10,249,George Washington,1,I,8964143,15,Heinrich,Reilly,Reilly Heinrich,Sr,DS,5-6,32,1,115,0.0,7,2,23,0.217,69,12,16,432,536,32,0,1,0,0.0,19.5,0,0,0,0,2024_249_player_season_stats.csv
2024,2024-25,WVB,585214,Atlantic 10,249,George Washington,1,I,8433032,1,Yohannes,Salem,Salem Yohannes,Sr,OH,5-10,32,30,114,0.0,346,111,996,0.236,13,33,23,219,679,45,8,24,9,0.0,399.0,0,0,0,0,2024_249_player_season_stats.csv
2024,2024-25,WVB,585214,Atlantic 10,249,George Washington,1,I,8436709,19,Daubendiek,MC,MC Daubendiek,Sr,OPP,6-2,32,25,115,0.0,256,93,669,0.244,8,4,3,39,1,0,5,43,3,0.0,286.5,1,0,0,0,2024_249_player_season_stats.csv
2024,2024-25,WVB,585214,Atlantic 10,249,George Washington,1,I,8439616,16,Allread,Grace,Grace Allread,Sr,S,5-9,12,1,34,0.0,1,2,25,-0.04,144,4,3,48,0,0,0,1,0,0.0,5.5,0,0,0,0,2024_249_player_season_stats.csv
2024,2024-25,WVB,585214,Atlantic 10,249,George Washington,1,I,8432777,2,Stewart,Sydney,Sydney Stewart,Jr,MB,6-1,22,22,76,0.0,47,9,114,0.333,1,0,0,13,8,1,20,43,16,0.0,88.5,1,0,0,0,2024_249_player_season_stats.csv
2024,2024-25,WVB,585214,Atlantic 10,249,George Washington,1,I,8431299,12,Robinson,Amina,Amina Robinson,Jr,DS,5-6,32,8,103,0.0,2,0,7,0.286,39,26,46,221,418,26,0,0,0,0.0,28.0,0,0,0,0,2024_249_player_season_stats.csv
2024,2024-25,WVB,585214,Atlantic 10,249,George Washington,1,I,8438929,9,Hiepler,Penelope,Penelope Hiepler,Jr,L/DS,5-10,24,0,78,0.0,1,0,2,0.5,11,10,16,48,45,2,0,0,0,0.0,11.0,0,0,0,0,2024_249_player_season_stats.csv
2024,2024-25,WVB,585214,Atlantic 10,249,George Washington,1,I,8964142,6,Tejada,Cianna,Cianna Tejada,Jr,OH,6-1,32,32,115,0.0,219,69,486,0.309,11,27,73,60,13,1,25,92,11,0.0,317.0,1,0,0,0,2024_249_player_season_stats.csv
2024,2024-25,WVB,585214,Atlantic 10,249,George Washington,1,I,8442068,4,Papadakos,Loukia,Loukia Papadakos,So,MB,6-3,9,0,11,0.0,4,2,13,0.154,0,0,0,1,0,0,3,4,3,0.0,9.0,0,0,0,0,2024_249_player_season_stats.csv
2024,2024-25,WVB,585214,Atlantic 10,249,George Washington,1,I,8964159,13,Treahy,Taylor,Taylor Treahy,Fr,RS,6-2,31,24,108,0.0,283,113,779,0.218,11,29,65,154,445,29,13,47,7,0.0,348.5,0,0,0,0,2024_249_player_season_stats.csv
2024,2024-25,WVB,585214,Atlantic 10,249,George Washington,1,I,8964166,23,Markworth,Abby,Abby Markworth,Fr,S,6-0,26,7,88,0.0,4,4,32,0.0,406,19,33,120,4,1,1,1,0,0.0,24.5,3,0,0,0,2024_249_player_season_stats.csv
2024,2024-25,WVB,585214,Atlantic 10,249,George Washington,1,I,8964163,17,de Albergaria,Tessa,Tessa de Albergaria,Fr,L/DS,5-10,8,0,8,0.0,0,0,0,0.0,0,2,1,3,5,2,0,0,0,0.0,2.0,0,0,0,0,2024_249_player_season_stats.csv
2024,2024-25,WVB,585214,Atlantic 10,249,George Washington,1,I,8435220,7,Elmacioglu,Dilara,Dilara Elmacioglu,Jr,S,6-0,31,24,112,0.0,16,6,64,0.156,628,35,75,159,4,0,1,0,0,0.0,52.0,0,0,0,0,2024_249_player_season_stats.csv
2024,2024-25,WVB,585214,Atlantic 10,249,George Washington,1,I,8433825,21,Brown,Haylee,Haylee Brown,So,OH,6-2,32,7,106,0.0,188,72,490,0.237,6,0,0,26,1,0,7,34,6,0.0,212.0,0,0,0,0,2024_249_player_season_stats.csv
2024,2024-25,WVB,585214,Atlantic 10,249,George Washington,1,I,8964145,10,Cogan,Cayla,Cayla Cogan,Fr,OH,5-9,20,1,39,0.0,59,25,183,0.186,1,0,1,14,66,6,4,13,7,0.0,69.5,0,0,0,0,2024_249_player_season_stats.csv
2024,2024-25,WVB,585214,Atlantic 10,249,George Washington,1,I,8964157,11,Samuel,Riley,Riley Samuel,Fr,MB,6-0,4,2,7,0.0,7,4,18,0.167,0,0,0,0,3,0,0,3,2,0.0,8.5,0,0,0,0,2024_249_player_season_stats.csv
2024,2024-25,WVB,585411,WCC,551,Portland,1,I,8974119,15,Bray,Nevaeh,Nevaeh Bray,Sr,MB,6-2,28,27,102,0.0,99,37,265,0.234,7,0,1,20,10,0,7,88,3,0.0,150.0,3,0,0,0,2024_551_player_season_stats.csv
2024,2024-25,WVB,585411,WCC,551,Portland,1,I,8435740,20,Hawken,Lia,Lia Hawken,Jr,OH,6-0,11,4,39,0.0,96,39,240,0.238,3,5,9,28,5,0,0,22,1,0.0,112.0,0,0,0,0,2024_551_player_season_stats.csv
2024,2024-25,WVB,585411,WCC,551,Portland,1,I,8433617,9,Freytag,Leonie,Leonie Freytag,Jr,OH,5-11,19,4,45,0.0,67,42,211,0.118,0,12,18,23,55,8,1,3,1,0.0,81.5,0,0,0,0,2024_551_player_season_stats.csv
2024,2024-25,WVB,585411,WCC,551,Portland,1,I,8440812,1,Robins,Maui,Maui Robins,Jr,OH,5-11,27,27,104,0.0,305,188,876,0.134,34,32,49,266,485,10,8,48,8,0.0,369.0,0,0,0,0,2024_551_player_season_stats.csv
2024,2024-25,WVB,585411,WCC,551,Portland,1,I,8443429,11,Larsson,Elin,Elin Larsson,Jr,OH,6-2,25,20,91,0.0,265,133,756,0.175,7,16,40,81,148,9,1,30,1,0.0,297.0,0,0,0,0,2024_551_player_season_stats.csv
2024,2024-25,WVB,585411,WCC,551,Portland,1,I,8434105,8,Busso,Lucia,Lucia Busso,Jr,OH,6-0,24,12,89,0.0,191,74,501,0.234,8,8,14,53,7,0,4,50,6,0.0,228.0,1,0,0,0,2024_551_player_season_stats.csv
2024,2024-25,WVB,585411,WCC,551,Portland,1,I,8438483,6,Chock,Larkin,Larkin Chock,So,DS,5-6,28,10,98,0.0,1,0,3,0.333,14,8,21,139,313,27,0,0,0,0.0,9.0,0,0,0,0,2024_551_player_season_stats.csv
2024,2024-25,WVB,585411,WCC,551,Portland,1,I,8438373,17,Rajkovic,Una,Una Rajkovic,Jr,MB,6-3,14,0,21,0.0,3,4,11,-0.091,0,2,3,2,0,0,1,0,1,0.0,6.0,0,0,0,0,2024_551_player_season_stats.csv
2024,2024-25,WVB,585411,WCC,551,Portland,1,I,8435849,10,Bullemer,Elena,Elena Bullemer,Sr,S,5-7,20,1,43,0.0,4,1,9,0.333,82,3,2,37,0,0,0,0,1,0.0,7.0,0,0,0,0,2024_551_player_season_stats.csv
2024,2024-25,WVB,585411,WCC,551,Portland,1,I,8437174,5,Corpe,Maddie,Maddie Corpe,So,S,5-9,6,0,11,0.0,0,1,1,-1.0,33,0,0,9,0,0,0,0,0,0.0,0.0,0,0,0,0,2024_551_player_season_stats.csv
2024,2024-25,WVB,585411,WCC,551,Portland,1,I,8442599,3,Hoeft,Havannah,Havannah Hoeft,Fr,S,5-9,27,27,102,0.0,41,11,127,0.236,924,15,15,212,4,0,1,40,6,0.0,77.0,1,0,0,0,2024_551_player_season_stats.csv
2024,2024-25,WVB,585411,WCC,551,Portland,1,I,8438528,18,Kaauwai,Taina,Taina Kaauwai,So,MB,6-1,28,28,107,0.0,235,48,490,0.382,7,26,36,46,10,0,15,99,5,0.0,325.5,1,0,0,0,2024_551_player_season_stats.csv
2024,2024-25,WVB,585411,WCC,551,Portland,1,I,8974113,12,Eason,Amiyah,Amiyah Eason,Fr,DS,5-4,25,7,83,0.0,1,0,3,0.333,2,4,14,108,240,19,0,0,0,0.0,5.0,1,0,0,0,2024_551_player_season_stats.csv
