student,college,college_clean,done,exclude,notes
Gomes,Iowa Wesleyan,Iowa Wesleyan,x,,
Gomes,Iowa Western,Iowa Western,x,,
Gomes,Ithaca College,Ithaca,x,,
Gomes,JMU,JMU,x,,
Gomes,Jackson State,Jackson State,x,,
Gomes,Jacksonville,Jacksonville,x,,
Gomes,Jacksonville College,Jacksonville College,x,,
Gomes,Jacksonville State,Jacksonville State,x,,
Gomes,Jacksonville State University,Jacksonville State,x,,
Gomes,Jacksonville University,Jacksonville,x,,
Gomes,James Madison,JMU,x,,
Gomes,Jefferson Community College,Jefferson CC,x,,
Gomes,John Brown University,John Brown,x,,
Gomes,John Carroll,John Carroll,x,,
Gomes,John Carroll University,John Carroll,x,,
Gomes,Johns Hopkins,Johns Hopkins,x,,
Gomes,Johnson C. Smith,Johnson C. Smith,x,,
Gomes,Johnson C. Smith University,Johnson C. Smith,x,,
Gomes,Johnson County CC,Johnson County CC,x,,
Gomes,Johnson University,Johnson,x,,
Gomes,Johnson and Wales University,Johnson and Wales ,x,,
Gomes,Jones College,Jones College,x,,
Gomes,Jones County JC,Jones County JC,x,,
Gomes,Kansas,Kansas,x,,
Gomes,Kansas City,Kansas City,x,,
Gomes,Kansas City Community College,Kansas City CC,x,,
Gomes,Kansas State,Kansas State,x,,
Gomes,Keene State College,Keene State College,x,,
Gomes,Keiser University,Keiser,x,,
Gomes,Kellogg Community College,Kellogg CC,x,,
Gomes,Kennesaw State,Kennesaw State,x,,
Gomes,Kent State,Kent State,x,,
Gomes,Kentucky,Kentucky,x,,
Gomes,Kentucky State,Kentucky State,x,,
Gomes,Kentucky State University,Kentucky State,x,,
Gomes,Kentucky Wesleyan,Kentucky Wesleyan,x,,
Gomes,Keuka College,Keuka College,x,,
Gomes,Kilgore College,Kilgore College,x,,
Gomes,Kinsborough Community College,Kinsborough CC,x,,
Gomes,Knox College,Knox College,x,,
Gomes,LA Sparks,LA Sparks,x,,
Gomes,LA Tech,LA Tech,x,,
Gomes,LIU Brooklyn,LIU Brooklyn,x,,
Gomes,LIU-Brooklyn,LIU-Brooklyn,x,,
Gomes,LSU,LSU,x,,
Gomes,La Roche College,La Roche,x,,
Gomes,La Roche University,La Roche,x,,
Gomes,La Salle,LaSalle,x,,
Gomes,La Verne,La Verne,x,,
Gomes,LaSalle,LaSalle,x,,
Gomes,LaSalle University,LaSalle,x,,
Gomes,Labette Community College,Labette CC,x,,
Gomes,Lackawanna College,Lackawanna College,x,,
Gomes,Lafayette,Lafayette,x,,
Gomes,Lake Erie,Lake Erie,x,,
Gomes,Lake Michigan Community College,Lake Michigan CC,x,,
Gomes,Lake Superior State,Lake Superior State,x,,
Gomes,Lamar,Lamar,x,,
Gomes,Lamar Community College,Lamar CC,x,,
Gomes,Lamar State,Lamar State,x,,"Unsure which Lamar State this is referring to (there is ""Lamar State College Orange"" and ""Lamar State - Port Arthur"""
Gomes,Lamar University,Lamar,x,,
Gomes,Lambuth University,Lambuth ,x,,
Gomes,Lancaster Bible College,Lancaster Bible College,x,,
Gomes,Lander,Lander,x,,
Gomes,Lander University,Lander,x,,
Gomes,Laney College,Laney College,x,,
Gomes,Langston,Langston,x,,
Gomes,Langston University,Langston,x,,
Gomes,Las Vegas Aces,Las Vegas Aces,x,,
Gomes,Lasell College,Lasell College,x,,
Gomes,Lassen College,Lassen College,x,,
Gomes,Laurinburg Institute,Laurinburg Institute,x,,
Gomes,Lawrence Tech University,Lawrence Tech University,x,,
Gomes,Le Moyne,Le Moyne,x,,
Gomes,Le Moyne College,Le Moyne,x,,
Gomes,LeMoyne College,Le Moyne,x,,
Gomes,LeTorneau University,LeTorneau,x,,
Gomes,Leeds Beckett University,Leeds Beckett,x,,
Gomes,Lees-McRae College,Lees-McRae College,x,,
Gomes,Legacy Charter,Legacy Charter,x,Y,Looks like this is a high school
Gomes,Lehigh,Lehigh,x,,
Gomes,Lenoir Community College,Lenoir CC,x,,
Gomes,Lenoir-Rhyne,Lenoir-Rhyne,x,,
Gomes,Lewis,Lewis,x,,
Gomes,Lewis University,Lewis,x,,
Gomes,Lewis and Clark College,Lewis and Clark College,x,,
Gomes,Liberty,Liberty,x,,
Gomes,Life University,Life University,x,,
Gomes,Limestone College,Limestone College,x,,
Gomes,Lincoln Memorial University,Lincoln Memorial,x,,
Gomes,Lincoln University,Lincoln,x,,
Gomes,Lindenwood,Lindenwood,x,,
Gomes,Lindenwood University,Lindenwood,x,,
Gomes,Linn-Benton Community College,Linn-Benton CC,x,,
Gomes,Lipscomb,Lipscomb,x,,
Gomes,Little Rock,Little Rock,x,,
Gomes,Livingstone College,Livingstone College,x,,
Gomes,Lon Morris Junior College,Lon Morris JC,x,,
Gomes,Long Beach State,Long Beach State,x,,
Gomes,Long Island,Long Island,x,,
Gomes,Long Island Knights,Long Island Knights,x,Y,Not sure what this is because Long Island University athletics teams are the Sharks
Gomes,Long Island University,Long Island,x,,
Gomes,Longwood,Longwood,x,,
Gomes,Longwood University,Longwood,x,,
Gomes,Loras,Loras,x,,
Gomes,Loras College,Loras,x,,
Gomes,Los Angeles Clippers,Los Angeles Clippers,x,,
Gomes,Los Angeles Lakers,Los Angeles Lakers,x,,
Gomes,Los Angeles Sparks,Los Angeles Sparks,x,,
Gomes,Louisiana,Louisiana,x,,
Gomes,Louisiana Christian University,Louisiana Christian,x,,
Gomes,Louisiana College,Louisiana College,x,,
Gomes,Louisiana Monroe,Louisiana-Monroe,x,,
Gomes,Louisiana State University Shreveport,Louisiana State University Shreveport,x,,
Gomes,Louisiana Tech,Louisiana Tech,x,,
Gomes,Louisiana-Monroe,Louisiana-Monroe,x,,
Gomes,Louisville,Louisville,x,,
Gomes,Lourdes University,Lourdes University,x,,
Gomes,Loyola (Md.),Loyola (MD),x,,
Gomes,Loyola Chicago,Loyola Chicago,x,,
Gomes,Loyola Maryland,Loyola (MD),x,,
Gomes,Loyola Marymount,Loyola Marymount,x,,
Gomes,Loyola New Orleans,Loyola New Orleans,x,,
Gomes,Loyola University Chicago,Loyola Chicago,x,,
Gomes,Loyola University Maryland,Loyola (MD),x,,
Gomes,Loyola University New Orleans,Loyola New Orleans,x,,
Gomes,Loyola of Maryland,Loyola (MD),x,,
Gomes,Loyola-Chicago,Loyola Chicago,x,,
Gomes,Loyola-Maryland,Loyola (MD),x,,
Gomes,Lycoming College,Lycoming College,x,,
Gomes,Lynchburg College,Lynchburg College,x,,
Gomes,Lynn University,Lynn University,x,,
Gomes,MIT,MIT,x,,
Gomes,MSU Billings,MSU Billings,x,,
Gomes,MSU Denver,MSU Denver,x,,
Gomes,Macalester College,Macalester College,x,,
Gomes,Madonna University,Madonna University,x,,
Gomes,Maine,Maine,x,,
Gomes,Maine Fort Kent,Maine Fort Kent,x,,
Gomes,Malone University,Malone University,x,,
Gomes,Manchester,Manchester,x,,
Gomes,Manchester University,Manchester,x,,
Gomes,Manhattan,Manhattan,x,,
Gomes,Manhattan College,Manhattan,x,,
Gomes,Marian,Marian,x,,
Gomes,Marian University,Marian,x,,
Gomes,Marist,Marist,x,,
Gomes,Marist College,Marist,x,,
Gomes,Marquette,Marquette,x,,
Gomes,Marshall,Marshall,x,,
Gomes,Marshall University,Marshall,x,,
Gomes,Martin Methodist College,Martin Methodist College,x,,
Gomes,Mary Hardin-Baylor,Mary Hardin-Baylor,x,,
Gomes,Mary Washington,Mary Washington,x,,
Gomes,Maryland,Maryland,x,,
Gomes,Maryland Eastern Shore,Maryland Eastern Shore,x,,
Gomes,Maryland-Eastern Shore,Maryland Eastern Shore,x,,
Gomes,Maryville College,Maryville,x,,
Gomes,Maryville University,Maryville,x,,
Howes,Massachusetts,Massachusetts,x,,
Howes,Massachusetts-Lowell,Massachusetts-Lowell,x,,
Howes,Matthew Finders Anglican College,Matthew Finders Anglican,X,,
Howes,Mayville State,Mayville State,X,,
Howes,Mayville State University,Mayville State,X,,
Howes,McCook Community College,McCook CC,X,,
Howes,McLennan CC,McLennan CC,X,,
Howes,McMurry,McMurry,X,,
Howes,McNeese,McNeese,X,,
Howes,McNeese State,McNeese,X,,
Howes,McPherson College,McPherson,X,,
Howes,Memphis,Memphis,X,,
Howes,Memphis Grizzlies,Memphis Grizzlies,,X,pro team
Howes,Mercer,Mercer,X,,
Howes,Mercy College,Mercy,X,,
Howes,Mercyhurst,Mercyhurst,X,,
Howes,Mercyhurst Northeast,Mercyhurst Northeast,X,,branch campus
Howes,Mercyhurst University,Mercyhurst,X,,another Mercyhurst
Howes,Merrimack,Merrimack,X,,
Howes,Merrimack College,Merrimack,X,,another merrimack
Howes,Metro State,Metro State,X,,
Howes,Miami,Miami,X,,
Howes,Miami (FL),Miami ,X,,removed fl abbreviation 
Howes,Miami (OH),Miami (OH),X,,(OH) standerized
Howes,Miami (Ohio),Miami (OH),X,,(OH) standerized
Howes,Miami Heat,Miami Heat,,X,
Howes,Miami Ohio,Miami (OH),X,,(OH) standerized
Howes,Miami University,Miami,X,,
Howes,Miami-Dade CC Kendall,Miami-Dade CC,X,,removed kendall campus
Howes,Michigan,Michigan,X,,
Howes,Michigan State,Michigan State,X,,
Howes,Michigan Storm,Michigan Storm,,X,basketball club
Howes,Michigan Tech,Michigan Tech,X,,
Howes,Mid-America Christian University,Mid-America Christian,X,,
Howes,Mid-Michigan Community College,Mid-Michigan CC,X,,
Howes,MidAmerica Nazarene University,MidAmerica Nazarene,X,,
Howes,Middle Georgia State University,Middle Georgia State,X,,
Howes,Middle Tennessee,Middle Tennessee,X,,
Howes,Middle Tennessee State,Middle Tennessee,X,,above
Howes,Middle Tennessee State University,Middle Tennessee ,X,,above
Howes,Midland College,Midland,X,,
Howes,Midwestern State,Midwestern State,X,,
Howes,Miles Community College,Miles CC,X,,
Howes,Millersville University of Pennsylvania,Millersville ,X,,
Howes,Milwaukee,Milwaukee,X,,
Howes,Milwaukee Bucks,Milwaukee Bucks,,X,pro team
Howes,Mineral Area College,Mineral Area,X,,
Howes,Minnesota,Minnesota,X,,
Howes,Minnesota Lynx,Minnesota Lynx,,X,pro team
Howes,Minnesota State,Minnesota State,X,,
Howes,Minnesota State-Moorhead,Minnesota State-Moorhead,X,,
Howes,Minnesota Timberwolves,Minnesota Timberwolves,,X,pro team
Howes,Minnesota-Duluth,Minnesota-Duluth,X,,
Howes,Misericordia,Misericordia,X,,
Howes,Mississippi,Mississippi,X,,
Howes,Mississippi College,Mississippi College,X,,
Howes,Mississippi Gulf Coast CC,Mississippi Gulf Coast CC,X,,
Howes,Mississippi State,Mississippi State,X,,
Howes,Mississippi Valley State,Mississippi Valley State,X,,
Howes,Mississippi Valley State University,Mississippi Valley State,X,,above
Howes,Missouri,Missouri,X,,
Howes,Missouri Baptist University,Missouri Baptist,X,,
Howes,Missouri S&T,Missouri S&T,X,,
Howes,Missouri Southern State,Missouri Southern State,X,,
Howes,Missouri Southern State University,Missouri Southern State,X,,
Howes,Missouri State,Missouri State,X,,
Howes,Missouri Western,Missouri Western State,X,,
Howes,Missouri Western State,Missouri Western State,X,,
Howes,Missouri Western State University,Missouri Western State,X,,
Howes,Missouri-Kansas City,Missouri-Kansas City,X,,
Howes,Mitchell,Mitchell,X,,
Howes,Moberly Area Community College,Moberly Area CC,X,,
Howes,Moe's All-Star Camps & Training,Moe's All-Star Camps & Training,,X,camp
Howes,Mohawk Valley Community College,Mohawk Valley CC,X,,
Howes,Molloy College,Molloy,X,,
Howes,Monmouth,Monmouth,X,,
Howes,Monmouth University,Monmouth,X,,
Howes,Monroe,Monroe,X,,
Howes,Monroe College,Monroe,X,,
Howes,Monroe University,Monroe,X,,
Howes,Montana,Montana,X,,
Howes,Montana State,Montana State,X,,
Howes,Montana State-Northern,Montana State-Northern,X,,
Howes,Montana Tech,Montana Tech,X,,
Howes,Montana Western,Montana Western,X,,
Howes,Montclair State,Montclair State,X,,
Howes,Montreat College,Montreat,X,,
Howes,Moody Bible Institute,Moody Bible Institute,X,,
Howes,Moorpark College,Moorpark,X,,
Howes,Morehead State,Morehead State,X,,
Howes,Morehead State University,Morehead State,X,,
Howes,Morgan State,Morgan State,X,,
Howes,Morgan State University,Morgan State,X,,
Howes,Morris Catholic,Morris Catholic,X,,
Howes,Mount Olive,Mount Olive,X,,
Howes,Mount Olive College,Mount Olive,X,,
Howes,Mount St. Joseph,Mount St. Joseph,X,,
Howes,Mount St. Mary's,Mount St. Mary's,X,,
Howes,Mount Union,Mount Union,X,,
Howes,Mt. San Antonio College,Mt. San Antonio,X,,
Howes,Murray State,Murray State,X,,
Howes,Murray State College,Murray State,X,,
Howes,Muskingum,Muskingum,X,,
Howes,N.C. A&T,N.C. A&T,X,,
Howes,NBA,NBA,,X,nba
Howes,NBA G-League,NBA G-League,,X,gleague
Howes,NC Central,NC Central,X,,
Howes,NC State,NC State,X,,
Howes,NJIT,NJIT,X,,
Howes,NYIT,NYIT,X,,
Howes,Nassau Community College,Nassau CC,X,,
Howes,Naval Academy,Navy,X,,condensed
Howes,Navy,Navy,X,,
Howes,Nebraska,Nebraska,X,,
Howes,Nebraska Wesleyan,Nebraska Wesleyan,X,,
Howes,Nebraska-Kearney,Nebraska-Kearney,X,,
Howes,Nebraska-Omaha,Nebraska-Omaha,X,,
Howes,Nevada,Nevada,X,,
Howes,"Nevada, Reno","Nevada, Reno",X,,
Howes,New Hampshire,New Hampshire,X,,
Howes,New Haven,New Haven,X,,
Howes,New Jersey City University,New Jersey City,X,,
Howes,New Jersey Institute of Technology,New Jersey Tech,X,,condensed
Howes,New Jersey Tech,New Jersey Tech,X,,
Howes,New Mexico,New Mexico,X,,
Howes,New Mexico Highlands,New Mexico Highlands,X,,
Howes,New Mexico Junior College,New Mexico CC,X,,
Howes,New Mexico State,New Mexico State,X,,
Howes,New Orleans,New Orleans,X,,
Howes,New Orleans Blazers,New Orleans Blazers,,X,travel basketball
Howes,New Orleans Pelicans,New Orleans Pelicans,,X,pro team
Howes,New York Giants,New York Giants,,X,pro team
Howes,New York Jets,New York Jets,,X,pro team
Howes,New York Knicks,New York Knicks,,X,pro team
Howes,New York Liberty,New York Liberty,,X,pro team
Howes,New York University,New York,X,,
Howes,Newbury College,Newbury,X,,
Howes,Newman University,Newman,X,,
Howes,Niagara,Niagara,X,,
Howes,Niagara University,Niagara,X,,
Howes,Nicholls State,Nicholls State,X,,
Howes,Norfolk State,Norfolk State,X,,
Howes,North Alabama,North Alabama,X,,
Howes,North Carolina,North Carolina,X,,
Howes,North Carolina A&T,North Carolina A&T,X,,
Howes,North Carolina Central,North Carolina Central,X,,
Howes,North Carolina Central University,North Carolina Central,X,,
Howes,North Carolina State,North Carolina State,X,,
Howes,North Central,North Central,X,,
Howes,North Central College,North Central,X,,
Howes,North Dakota,North Dakota,X,,
Howes,North Dakota State,North Dakota State,X,,
Howes,North Dakota State College of Science,North Dakota State College of Science,X,,
Howes,North Florida,North Florida,X,,
Howes,North Greenville,North Greenville,X,,
Howes,North Greenville University,North Greenville,X,,
Howes,North Iowa,North Iowa CC,X,,
Howes,North Iowa Area Community College,North Iowa Area CC,X,,
Howes,North Platte Community College,North Platte CC,X,,
Howes,North Seattle Community College,North Seattle CC,X,,
Howes,North Texas,North Texas,X,,
Howes,Northeast Mississippi Community College,Northeast Mississippi CC,X,,
Howes,Northeastern,Northeastern,X,,
Howes,Northeastern Oklahoma A&M,Northeastern Oklahoma A&M,X,,
Howes,Northeastern University,Northeastern,X,,
Howes,Northern Arizona,Northern Arizona,X,,
Howes,Northern Colorado,Northern Colorado,X,,
Howes,Northern Illinois,Northern Illinois,X,,
Howes,Northern Illinois University,Northern Illinois,X,,
Howes,Northern Iowa,Northern Iowa,X,,
Howes,Northern Kentucky,Northern Kentucky,X,,
Howes,Northern Michigan,Northern Michigan,X,,
Howes,Northern State University,Northern State,X,,
Howes,Northwest Florida State College,Northwest Florida State,X,,
Howes,Northwest Kansas Tech,Northwest Kansas Tech,X,,
Howes,Northwest Kansas Technical College,Northwest Kansas Technical,X,,
Howes,Northwest Missouri State,Northwest Missouri State,X,,
Howes,Northwest Nazarene,Northwest Nazarene,X,,
Howes,Northwestern,Northwestern,X,,
Howes,Northwestern College,Northwestern,X,,
Howes,Northwestern State,Northwestern State,X,,
Howes,Northwestern State University,Northwestern State,X,,
Howes,Northwestern University,Northwestern,X,,
Howes,Norwich University,Norwich,X,,
Howes,Notre Dame,Notre Dame,X,,
Howes,Notre Dame College,Notre Dame College,X,,ohio
Howes,Nova Southeastern,Nova Southeastern,X,,
Howes,Nyack,Nyack,X,,
Howes,Nyack College,Nyack,X,,
Jane,Oakland,Oakland,x,,
Jane,Oakland Catholic,Oakland Catholic,x,,
Jane,Oakland Community College,Oakland CC,x,,
Jane,Oakland University,Oakland,x,,
Jane,Oakwood,Oakwood,x,,
Jane,Oberlin,Oberlin,x,,
Jane,Oberlin College,Oberlin,x,,
Jane,Occidental,Occidental,x,,
Jane,Oglethorpe,Oglethorpe,x,,
Jane,Oglethorpe University,Oglethorpe,x,,
Jane,Ohio,Ohio,x,,
Jane,Ohio Northern University,Ohio Northern,x,,
Jane,Ohio State,Ohio State,x,,
Jane,Ohio University,Ohio,x,,
Jane,Ohio Valley,Ohio Valley,x,,
Jane,Ohio Valley University,Ohio Valley,x,,
Jane,Ohio Wesleyan,Ohio Wesleyan,x,,
Jane,Ohio Wesleyan University,Ohio Wesleyan,x,,
Jane,Oklahoma,Oklahoma,x,,
Jane,Oklahoma Baptist,Oklahoma Baptist,x,,
Jane,Oklahoma Christian University,Oklahoma Christian,x,,
Jane,Oklahoma City,Oklahoma City,x,,
Jane,Oklahoma City Thunder,Oklahoma City Thunder,x,,
Jane,Oklahoma City University,Oklahoma City,x,,
Jane,Oklahoma State,Oklahoma State,x,,
Jane,Oklahoma Storm,Oklahoma Storm,,y,could not find thi sorganization
Jane,Oklahoma Wesleyan,Oklahoma Wesleyan,x,,
Jane,Oklahoma Wesleyan University,Oklahoma Wesleyan,x,,
Jane,Old Dominion,Old Dominion,x,,
Jane,Ole Miss,Ole Miss,x,,
Jane,Olivet College,Olivet,x,,
Jane,Omaha,Omaha,x,,
Jane,Ontario Clippers,Ontario Clippers,,y,ontario
Jane,Oral Roberts,Oral Roberts,x,,
Jane,Oregon,Oregon,x,,
Jane,Oregon State,Oregon State,x,,
Jane,Oregon State University,Oregon State,x,,
Jane,Orlando Magic,Orlando Magic,x,,
Jane,Orlando Miracle,Orlando Miracle,x,,
Jane,Ottawa University,Ottawa University,x,,
Jane,Ouachita Baptist,Ouachita Baptist,x,,
Jane,Ouachita Baptist University,Ouachita Baptist,x,,
Jane,Owens Community College,Owens CC,x,,
Jane,Pace,Pace,x,,
Jane,Pace University,Pace,x,,
Jane,Pacific,Pacific,x,,
Jane,Pacific (Ore.),Pacific ,x,,
Jane,Pacific Union College,Pacific Union,x,,
Jane,Pacific University,Pacific,x,,
Jane,Paine College,Paine,x,,
Jane,Palm Beach Atlantic,Palm Beach Atlantic,x,,
Jane,Panola College,Panola,x,,
Jane,Paris Junior College,Paris Junior,x,,
Jane,Park University,Park,x,,
Jane,Parkland College,Parkland,x,,
Jane,Parkside,Parkside,x,,
Jane,Passaic County Community,Passaic CC,x,,
Jane,Paul Quinn College,Paul Quinn College,X,,
Jane,Pearl River,Pearl River CC,x,,
Jane,Pearl River Community College,Pearl River CC,x,,
Jane,Penn,Penn,x,,
Jane,Penn State,Penn State,x,,
Jane,Penn State Lehigh Valley,Penn State Lehigh Valley,x,,
Jane,Penn State University Altoona,Penn State University Altoona,x,,
Jane,Penn State-New Kensington,Penn State-New Kensington,x,,
Jane,Pennsylvania,Penn,x,,
Jane,Pensacola State,Pensacola State,x,,
Jane,Pensacola State College,Pensacola State,x,,
Jane,Pepperdine,Pepperdine,x,,
Jane,Pfeiffer University,Pfeiffer University,x,,
Jane,Philadelphia 76ers,Philadelphia 76ers,x,,
Jane,Phoenix Mercury,Phoenix Mercury,x,,
Jane,Pikeville,Pikeville,x,,
Jane,Pima CC,Pima CC,x,,
Jane,Pine Manor College,Pine Manor,x,,
Jane,Pitt,Pittsburgh,x,,
Jane,Pittsburg State,Pittsburg State,x,,
Jane,Pittsburgh,Pittsburgh,x,,
Jane,Point Loma,Point Loma,x,,
Jane,Point Loma Nazarene,Point Loma Nazarene,x,,
Jane,Point Loma Nazarene University,Point Loma Nazarene,x,,
Jane,Point University,Point University,x,,
Jane,Pomona-Pitzer,Pomona-Pitzer,x,,
Jane,Portland,Portland,x,,
Jane,Portland State,Portland State,x,,
Jane,Portland State University,Portland State,x,,
Jane,Portland Trail Blazers,Portland Trail Blazers,x,,
Jane,Post University,Post,x,,
Jane,Prairie View A&M,Prairie View A&M,x,,
Jane,Pratt Community College,Pratt CC,x,,
Jane,Presbyterian,Presbyterian,x,,
Jane,Presbyterian College,Presbyterian,x,,
Jane,Princeton,Princeton,x,,
Jane,Providence,Providence,x,,
Jane,Providence College,Providence,x,,
Jane,Puget Sound,Puget Sound,x,,
Jane,Purdue,Purdue,x,,
Jane,Purdue Fort Wayne,Purdue Fort Wayne,x,,
Jane,Purdue Northwest,Purdue Northwest,x,,
Jane,Purdue University,Purdue,x,,
Jane,Purdue-Fort Wayne,Purdue Fort Wayne,x,,
Jane,Queens,Queens,x,,
Jane,Queens (NC),Queens (NC),x,,
Jane,Queens University of Charlotte,Queens University of Charlotte,x,,
Jane,Queensborough Community College,Queensborough CC,x,,
Jane,Quincy,Quincy,x,,
Jane,Quincy University,Quincy,x,,
Jane,Quinnipiac,Quinnipiac,x,,
Jane,Radford,Radford,x,,
Jane,Radford University,Radford,x,,
Jane,Ramapo College of New Jersey,Ramapo College of New Jersey,x,,
Jane,Randolph College,Randolph,x,,
Jane,Randolph-Macon College,Randolph,x,,
Jane,Ranger College,Ranger College,x,,
Jane,Redlands,Redlands,x,,
Jane,Regis,Regis,x,,
Jane,Regis College,Regis,x,,
Jane,Regis University,Regis,x,,
Jane,Rend Lake College,Rend Lake College,X,,
Jane,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,X,,
Jane,Rhode Island,Rhode Island,X,,
Jane,Rhode Island College,Rhode Island,X,,
Jane,Rhodes College,Rhodes College,X,,
Jane,Rice,Rice,x,,
Jane,Rice University,Rice,x,,
Jane,Richmond,Richmond,x,,
Jane,Rider,Rider,x,,
Jane,Rider University,Rider,x,,
Jane,Roanoke College,Roanoke College,x,,
Jane,Robert Morris,Robert Morris,x,,
Jane,Robert Morris University,Robert Morris,x,,
Jane,Rock Valley College,Rock Valley College,x,,
Jane,Rocky Mountain College,Rocky Mountain College,x,,
Jane,Rogers State,Rogers State,x,,
Jane,Rogers State University,Rogers State,x,,
Jane,Roosevelt University,Roosevelt University,x,,
Jane,Rose Hulman,Rose Hulman,x,,
Jane,Rosemont College,Rosemont College,x,,
Jane,Rowan University,Rowan University,x,,
Jane,Rutgers,Rutgers,x,,
Jane,Rutgers - Newark,Rutgers ,x,,
Jane,SCU San Marcos,SCU San Marcos,x,,
Jane,SEMO,SEMO,,y,
Jane,SIU Carbondale,SIU Carbondale,x,,
Jane,SIU Edwardsville,SIU Edwardsville,x,,
Jane,SIUE,SIU Edwardsville,x,,
Jane,SMU,SMU,x,,
Jane,SUNY Brockport,SUNY Brockport,x,,
Jane,SUNY Cobleskill,SUNY Cobleskill,x,,
Jane,SUNY Cortland,SUNY Cortland,x,,
Jane,SUNY Fredonia,SUNY Fredonia,x,,
Jane,SUNY Maritime College,SUNY Maritime College,x,,
Jane,SUNY Oswego,SUNY Oswego,x,,
Jane,SUNY Sullivan Community College,SUNY Sullivan CC,x,,
Jane,SUNY-Canton,SUNY-Canton,x,,
Jane,SUNY-Cobleskill,SUNY-Cobleskill,x,,
Jane,Sacramento Kings,Sacramento Kings,x,,
Jane,Sacramento Kings/Sacramento Monarchs,Sacramento Kings,x,,
Jane,Sacramento Monarchs,Sacramento Monarchs,x,,
Jane,Sacramento State,Sacramento State,x,,
Jane,Sacred Heart,Sacred Heart,x,,
Jane,Saginaw Valley State,Saginaw Valley State,x,,
Jane,Saint Anselm College,Saint Anselm College,x,,For Sam: I've been changing all Saint to St. -- Max
Jane,Saint Augustine,Saint Augustine,x,,
Jane,Saint Augustine's,Saint Augustine,x,,
Jane,Saint Francis,Saint Francis,x,,
Jane,Saint Francis (PA),Saint Francis ,x,,
Jane,Saint Francis (Pa.),Saint Francis ,x,,
Jane,Saint Francis University,Saint Francis,x,,
Jane,Saint Joseph's,Saint Joseph's,x,,
Jane,Saint Joseph's (PA),Saint Joseph's ,x,,
Jane,Saint Joseph's College,Saint Joseph's,x,,
Jane,Saint Joseph's University,Saint Joseph's,x,,
Jane,Saint Leo,Saint Leo,x,,
Jane,Saint Leo University,Saint Leo,x,,
Jane,Saint Louis,Saint Louis,x,,
Jane,Saint Louis University,Saint Louis,x,,
Jane,Saint Martin's,Saint Martin's,x,,
Jane,Saint Martin's University,Saint Martin's,x,,
Jane,Saint Mary's,Saint Mary's,x,,
Jane,Saint Mary's (CA),Saint Mary's ,x,,
Jane,Saint Mary's College,Saint Mary's,x,,
Jane,Saint Mary's College of California,Saint Mary's ,x,,
Schaeffer,Saint Michael's College,St. Michael's College,X,,
Schaeffer,Saint Paul's College,St. Paul's College,X,,
Schaeffer,Saint Peter's,St. Peter's,X,,
Schaeffer,Saint Peter's University,St. Peter's ,X,,
Schaeffer,Saint Xavier,St. Xavier,X,,
Schaeffer,Salem College,Salem,X,,
Schaeffer,Salem International University,Salem International ,X,,
Schaeffer,Salem State University,Salem State,X,,
Schaeffer,Salisbury,Salisbury,X,,
Schaeffer,Salisbury University,Salisbury ,X,,
Schaeffer,Sam Houston State,Sam Houston State,X,,
Schaeffer,Samford,Samford,X,,
Schaeffer,Samford University,Samford ,X,,
Schaeffer,San Antonio Spurs,San Antonio Spurs,X,,Not a college - NBA
Schaeffer,San Diego,San Diego,X,,
Schaeffer,San Diego City College,San Diego City ,X,,
Schaeffer,San Diego State,San Diego State,X,,
Schaeffer,San Diego State University,San Diego State ,X,,
Schaeffer,San Francisco,San Francisco,X,,
Schaeffer,San Francisco 49ers,San Francisco 49ers,X,,Not a college - NFL
Schaeffer,San Francisco State,San Francisco State,X,,
Schaeffer,San Francisco State University,San Francisco State ,X,,
Schaeffer,San Joaquin Delta College,San Joaquin Delta ,X,,
Schaeffer,San Jose City College,San Jose City ,X,,
Schaeffer,San Jose State,San Jose State,X,,
Schaeffer,San José State,San Jose State,X,,
Schaeffer,Santa Clara,Santa Clara,X,,
Schaeffer,Santa Clara University,Santa Clara,X,,
Schaeffer,Santa Fe College,Santa Fe ,X,,
Schaeffer,Santa Fe Community College,Santa Fe CC,X,,
Schaeffer,Santa Rosa Junior College,Santa Rosa JC,X,,
Schaeffer,Sarah Lawrence College,Sarah Lawrence ,X,,
Schaeffer,Sauk Valley Community College,Sauk Valley CC,X,,
Schaeffer,Savannah State,Savannah State,X,,
Schaeffer,Schreiner University,Schreiner ,X,,
Schaeffer,Scranton,Scranton,X,,
Schaeffer,Seattle,Seattle,X,,
Schaeffer,Seattle Pacific,Seattle Pacific,X,,
Schaeffer,Seattle Pacific University,Seattle Pacific,X,,
Schaeffer,Seattle Storm,Seattle Storm,X,,Not a college- WNBA
Schaeffer,Seattle U,Seattle ,X,,
Schaeffer,Seattle University,Seattle ,X,,
Schaeffer,Seminole State,Seminole State,X,,
Schaeffer,Seton Hall,Seton Hall,X,,
Schaeffer,Seton Hill,Seton Hill,X,,
Schaeffer,Seward County CC,Seward County CC,X,,
Schaeffer,Seward County Community College,Seward County CC,X,,
Schaeffer,Shaw,Shaw,X,,
Schaeffer,Shaw University,Shaw,X,,
Schaeffer,Shelton State Community College,Shelton State CC,X,,
Schaeffer,Shepherd College,Shepherd,X,,
Schaeffer,Sheridan,Sheridan,X,,
