Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Season
29,Bradley,3,2,1,0.667,-3.03,-3.53,1,0,1,1,192,153,120,73,173,0.422,7,55,0.127,39,52,0.75,24,103,30,25,16,46,52,2024-2025
30,Brigham Young,5,5,0,1,3.79,-8.61,4,0,1,0,374,312,200,137,315,0.435,44,120,0.367,56,77,0.727,54,197,82,45,19,63,92,2024-2025
31,Brown,5,2,3,0.4,-3.37,2.63,1,2,1,1,353,320,200,129,324,0.398,45,163,0.276,50,67,0.746,59,184,71,52,13,75,84,2024-2025
32,Bryant,6,5,1,0.833,-0.7,-5.7,2,0,3,1,365,317,240,147,357,0.412,31,122,0.254,40,63,0.635,76,245,88,55,13,116,90,2024-2025
33,Bucknell,5,1,4,0.2,-6.72,-2.12,1,0,0,4,307,330,200,118,292,0.404,34,109,0.312,37,57,0.649,55,179,76,36,22,82,89,2024-2025
34,Buffalo,4,4,0,1,6.32,0.32,3,0,1,0,336,225,160,122,240,0.508,18,61,0.295,74,107,0.692,44,155,80,44,5,62,79,2024-2025
35,Butler,5,4,1,0.8,13.7,2.3,3,0,1,1,354,297,205,125,286,0.437,32,98,0.327,72,105,0.686,67,173,81,45,23,95,82,2024-2025
36,Cal Poly,5,3,2,0.6,2.99,23.99,2,0,1,2,311,296,200,120,286,0.42,29,88,0.33,42,57,0.737,62,191,78,58,16,112,92,2024-2025
37,Cal State Bakersfield,4,0,4,0,-33.82,-6.32,0,1,0,3,193,303,160,77,237,0.325,15,86,0.174,24,52,0.462,48,145,40,30,13,83,76,2024-2025
38,Cal State Fullerton,4,0,4,0,-26.87,-13.12,0,1,0,3,200,255,160,71,216,0.329,15,49,0.306,43,68,0.632,45,132,35,25,13,65,81,2024-2025
39,Cal State Northridge,3,2,1,0.667,-32.31,8.19,1,0,1,1,178,245,120,57,177,0.322,20,77,0.26,44,56,0.786,32,127,38,29,8,84,46,2024-2025
40,California,5,5,0,1,30.11,-1.29,3,0,2,0,432,275,200,145,298,0.487,56,140,0.4,86,116,0.741,61,198,86,56,23,81,84,2024-2025
41,California Baptist,4,0,4,0,-11.08,9.18,0,2,0,2,237,318,160,86,238,0.361,24,106,0.226,41,69,0.594,34,145,46,28,10,63,85,2024-2025
42,Campbell,4,3,1,0.75,-0.99,-7.32,3,0,0,1,262,200,160,91,246,0.37,24,97,0.247,56,81,0.691,55,173,51,30,15,53,58,2024-2025
43,Canisius,4,1,3,0.25,-23.56,-4.81,0,1,1,2,204,279,160,77,196,0.393,16,69,0.232,34,54,0.63,34,129,40,30,11,104,78,2024-2025
44,Central Arkansas,4,3,1,0.75,2.21,-0.46,2,0,1,1,312,230,160,116,243,0.477,40,106,0.377,40,62,0.645,43,164,59,24,19,62,66,2024-2025
45,Central Connecticut State,6,0,6,0,-13.59,5.41,0,2,0,4,334,448,240,122,310,0.394,27,90,0.3,63,92,0.685,56,193,55,31,8,117,98,2024-2025
46,Central Michigan,3,0,3,0,-3.39,12.95,0,2,0,1,181,230,120,68,186,0.366,13,58,0.224,32,51,0.627,39,113,33,21,3,65,64,2024-2025
47,Charleston Southern,5,1,4,0.2,-24.74,8.86,0,1,1,3,269,437,200,99,312,0.317,26,110,0.236,45,75,0.6,69,177,53,31,17,104,83,2024-2025
48,Charlotte,5,2,3,0.4,-15.27,-7.67,1,2,1,1,289,327,200,105,281,0.374,18,85,0.212,61,97,0.629,71,193,64,39,13,98,106,2024-2025
49,Chattanooga,6,3,3,0.5,2.27,1.77,2,2,1,1,372,312,240,138,340,0.406,48,145,0.331,48,70,0.686,66,209,77,57,18,109,101,2024-2025
50,Chicago State,7,0,7,0,-31.64,5.22,0,4,0,3,394,652,279,150,479,0.313,43,168,0.256,51,80,0.638,95,226,78,56,14,134,164,2024-2025
51,Cincinnati,4,3,1,0.75,12.33,-4.17,2,1,1,0,285,219,160,105,240,0.438,18,57,0.316,57,77,0.74,50,159,57,39,15,50,64,2024-2025
52,Clemson,4,3,1,0.75,19.95,-7.06,3,1,0,0,295,187,160,108,236,0.458,28,75,0.373,51,58,0.879,44,170,71,26,16,56,53,2024-2025
53,Cleveland State,4,2,2,0.5,1.18,-0.07,1,0,1,2,329,324,160,108,234,0.462,33,87,0.379,80,107,0.748,42,163,53,14,21,69,63,2024-2025
54,Coastal Carolina,4,4,0,1,4.49,-13.51,2,0,2,0,336,220,160,129,291,0.443,36,118,0.305,42,65,0.646,66,166,70,67,22,65,81,2024-2025
55,Colgate,5,3,2,0.6,-4.79,-10.99,2,0,1,2,364,333,200,134,298,0.45,36,91,0.396,60,77,0.779,43,159,77,36,5,58,73,2024-2025
56,College of Charleston,4,4,0,1,2.64,-21.03,3,0,1,0,359,190,165,128,307,0.417,40,116,0.345,63,99,0.636,80,186,75,73,16,55,81,2024-2025
57,Colorado,6,5,1,0.833,7.56,-6.44,3,0,1,1,419,335,240,154,356,0.433,36,120,0.3,75,109,0.688,82,247,106,60,15,103,107,2024-2025
58,Colorado State,5,4,1,0.8,5.19,-1.81,4,0,0,1,335,250,200,123,294,0.418,39,121,0.322,50,68,0.735,33,183,77,36,10,39,61,2024-2025
59,Columbia,5,4,1,0.8,24.72,6.32,3,0,1,1,377,285,205,141,314,0.449,42,111,0.378,53,91,0.582,79,205,82,52,15,85,96,2024-2025
60,Connecticut,4,4,0,1,36.09,-0.41,3,0,0,0,326,180,160,134,259,0.517,32,98,0.327,26,38,0.684,43,156,89,52,16,42,48,2024-2025
61,Coppin State,5,2,3,0.4,2.47,15.97,2,0,0,3,304,356,200,117,296,0.395,32,105,0.305,38,61,0.623,41,144,64,43,7,72,90,2024-2025
62,Cornell,5,2,3,0.4,-3.62,-3.42,1,1,1,2,298,299,200,111,268,0.414,17,59,0.288,59,77,0.766,52,184,71,22,5,77,73,2024-2025
63,Creighton,3,1,2,0.333,21.75,26.75,1,0,0,2,219,234,120,84,192,0.438,27,76,0.355,24,33,0.727,23,90,39,19,6,27,52,2024-2025
64,Dartmouth,4,2,2,0.5,-4.66,-0.33,2,2,0,0,245,207,160,97,224,0.433,27,85,0.318,24,38,0.632,41,143,58,28,11,60,44,2024-2025
65,Davidson,4,2,2,0.5,-1.54,0.71,2,0,0,2,234,243,160,86,205,0.42,27,80,0.338,35,56,0.625,34,144,51,17,16,73,91,2024-2025
66,Dayton,4,3,1,0.75,-4.27,-10.02,3,0,0,1,279,256,160,101,238,0.424,24,83,0.289,53,80,0.663,44,163,55,46,15,81,75,2024-2025
67,Delaware,4,1,3,0.25,-14.39,-6.64,1,1,0,2,264,295,160,98,244,0.402,27,80,0.338,41,63,0.651,41,135,40,32,10,71,77,2024-2025
68,Delaware State,6,2,4,0.333,-26.39,9.86,2,1,0,3,328,410,240,122,318,0.384,41,100,0.41,43,73,0.589,63,199,63,50,14,137,87,2024-2025
69,Denver,3,0,3,0,-10.68,-4.18,0,1,0,2,185,205,120,63,173,0.364,18,85,0.212,41,48,0.854,25,95,31,28,1,40,47,2024-2025
70,DePaul,4,2,2,0.5,4.91,8.66,1,2,1,0,268,283,159,94,227,0.414,22,66,0.333,58,77,0.753,55,140,61,34,9,77,82,2024-2025
71,Detroit Mercy,3,2,1,0.667,-0.1,15.9,2,0,0,1,190,238,120,62,157,0.395,13,57,0.228,53,77,0.688,34,111,30,32,6,80,73,2024-2025
72,Drake,4,2,2,0.5,11.47,8.97,1,1,1,1,324,314,160,104,248,0.419,37,118,0.314,79,103,0.767,54,162,71,24,19,68,69,2024-2025
73,Drexel,3,2,1,0.667,6.32,-5.01,2,1,0,0,184,150,120,65,167,0.389,18,58,0.31,36,49,0.735,35,104,48,27,7,45,40,2024-2025
74,Duke,5,4,1,0.8,29.63,9.03,2,0,2,1,411,308,200,150,329,0.456,28,83,0.337,83,132,0.629,78,205,77,75,20,70,92,2024-2025
75,Duquesne,4,2,2,0.5,5.85,1.85,2,0,0,2,320,304,160,117,260,0.45,40,124,0.323,46,73,0.63,35,127,72,55,11,75,92,2024-2025
76,East Carolina,5,3,2,0.6,1.8,0.8,3,0,0,2,308,303,200,110,312,0.353,21,71,0.296,67,97,0.691,84,208,63,47,14,84,84,2024-2025
77,East Tennessee State,5,1,4,0.2,-8.17,-0.57,0,1,1,3,259,297,200,100,286,0.35,31,111,0.279,28,39,0.718,65,192,52,24,13,89,81,2024-2025
78,East Texas A&M,5,2,3,0.4,-21.92,1.41,2,1,0,2,370,344,200,136,345,0.394,44,122,0.361,54,74,0.73,60,207,75,40,26,73,92,2024-2025
79,Eastern Illinois,4,0,4,0,-5.13,16.87,0,0,0,4,208,296,160,80,236,0.339,14,67,0.209,34,50,0.68,39,125,38,43,15,70,95,2024-2025
80,Eastern Kentucky,5,2,3,0.4,-7.63,4.77,1,1,1,2,305,367,200,112,330,0.339,30,112,0.268,51,79,0.646,66,195,72,47,15,82,103,2024-2025
81,Eastern Michigan,3,0,3,0,-13.35,6.31,0,2,0,1,177,236,120,58,151,0.384,18,68,0.265,43,62,0.694,38,105,38,22,6,71,67,2024-2025
82,Eastern Washington,4,1,3,0.25,-2.15,10.19,1,1,0,2,284,273,165,107,250,0.428,27,71,0.38,43,70,0.614,51,170,51,22,13,66,77,2024-2025
83,Elon,4,3,1,0.75,-3.71,-4.46,3,0,0,1,257,254,160,89,234,0.38,16,61,0.262,63,101,0.624,52,144,48,46,14,67,81,2024-2025
84,Evansville,4,2,2,0.5,-14.88,-12.38,2,0,0,2,280,290,165,87,222,0.392,26,70,0.371,80,104,0.769,41,169,39,29,9,108,82,2024-2025
85,Fairfield,4,2,2,0.5,13.09,8.84,1,1,1,1,264,247,160,105,245,0.429,38,111,0.342,16,26,0.615,48,141,66,36,13,65,72,2024-2025
86,FDU,6,4,2,0.667,-9.72,-0.72,2,0,2,2,370,393,240,132,340,0.388,46,139,0.331,60,82,0.732,71,224,84,20,9,91,93,2024-2025
87,Florida,4,3,1,0.75,21.2,-9.3,3,1,0,0,361,239,160,134,262,0.511,30,84,0.357,63,86,0.733,49,167,72,43,22,53,53,2024-2025
88,Florida A&M,5,0,5,0,-16.2,4.8,0,1,0,4,291,396,200,105,264,0.398,22,62,0.355,59,92,0.641,64,174,40,34,13,118,126,2024-2025
89,Florida Atlantic,5,3,2,0.6,-7.13,-8.73,3,0,0,2,303,295,200,105,299,0.351,34,109,0.312,59,104,0.567,76,215,58,42,17,93,80,2024-2025
90,Florida Gulf Coast,3,1,2,0.333,8.35,5.69,1,0,0,2,180,172,120,64,181,0.354,17,73,0.233,35,56,0.625,42,108,35,40,2,47,55,2024-2025
91,Florida International,4,1,3,0.25,-12.41,3.92,1,2,0,1,310,252,160,109,252,0.433,24,86,0.279,68,103,0.66,69,177,59,47,8,96,100,2024-2025
92,Florida State,5,4,1,0.8,28.69,-10.31,4,0,0,1,506,311,201,177,383,0.462,50,132,0.379,102,128,0.797,84,218,85,57,34,51,92,2024-2025
93,Fordham,5,2,3,0.4,-12.61,-10.86,2,1,0,2,282,297,200,102,271,0.376,25,97,0.258,53,86,0.616,65,181,69,47,17,88,87,2024-2025
94,Fresno State,5,4,1,0.8,-3.62,-9.62,3,1,1,0,328,278,200,108,276,0.391,37,112,0.33,75,102,0.735,59,189,55,44,17,69,81,2024-2025
95,Furman,5,3,2,0.6,-16.16,-13.66,2,0,1,2,338,279,200,127,304,0.418,28,103,0.272,56,89,0.629,71,193,70,60,19,92,97,2024-2025
96,Gardner-Webb,5,1,4,0.2,-14.45,2.95,1,1,0,3,283,370,200,100,293,0.341,36,136,0.265,47,64,0.734,59,169,54,28,11,91,94,2024-2025
97,George Mason,5,5,0,1,7.08,-9.42,3,0,2,0,390,269,200,143,311,0.46,29,84,0.345,75,112,0.67,74,196,70,46,12,68,82,2024-2025
98,George Washington,5,3,2,0.6,-13.77,-16.02,3,0,0,2,342,282,200,122,305,0.4,23,99,0.232,75,118,0.636,84,245,61,28,16,82,88,2024-2025
99,Georgetown,3,2,1,0.667,10.64,12.64,2,0,0,1,214,161,120,77,179,0.43,25,67,0.373,35,50,0.7,38,125,41,29,12,48,41,2024-2025
100,Georgia,5,3,2,0.6,5.2,-7.61,3,1,0,1,358,294,200,129,321,0.402,31,92,0.337,69,90,0.767,73,225,64,42,7,74,78,2024-2025
101,Georgia Southern,4,4,0,1,-13.1,-22.1,2,0,2,0,285,249,160,105,255,0.412,20,61,0.328,55,82,0.671,61,170,59,44,18,65,78,2024-2025
102,Georgia State,5,3,2,0.6,-2.04,2.46,2,0,1,2,333,329,200,118,324,0.364,42,130,0.323,55,70,0.786,51,164,58,53,22,64,90,2024-2025
103,Georgia Tech,4,4,0,1,19.98,-9.28,4,0,0,0,323,206,160,125,278,0.45,35,114,0.307,38,49,0.776,64,169,80,39,18,53,63,2024-2025
104,Gonzaga,4,2,2,0.5,8.18,15.18,2,1,0,1,267,295,160,94,215,0.437,30,67,0.448,49,69,0.71,46,145,48,23,6,73,59,2024-2025
105,Grambling,5,2,3,0.4,-3.05,17.62,1,0,1,3,389,336,200,143,372,0.384,21,82,0.256,82,136,0.603,107,260,54,68,16,93,108,2024-2025
106,Grand Canyon,4,2,2,0.5,11.63,5.13,1,0,0,2,264,238,160,89,238,0.374,35,103,0.34,51,77,0.662,40,144,55,41,9,67,76,2024-2025
107,Green Bay,4,2,2,0.5,1.19,15.19,0,1,2,1,241,297,160,92,229,0.402,26,84,0.31,31,44,0.705,29,107,60,24,5,55,74,2024-2025
108,Hampton,4,1,3,0.25,-12.39,10.28,1,1,0,2,218,276,160,80,215,0.372,11,58,0.19,47,71,0.662,50,132,45,37,12,90,66,2024-2025
109,Harvard,6,5,1,0.833,20.71,4.71,3,0,2,1,446,350,245,163,372,0.438,51,138,0.37,69,87,0.793,67,203,87,81,30,91,122,2024-2025
110,Hawaii,2,1,1,0.5,6.44,0.94,0,0,1,1,137,126,80,45,97,0.464,14,38,0.368,33,39,0.846,17,61,23,23,9,40,37,2024-2025
111,High Point,5,3,2,0.6,-4.98,-4.23,3,0,0,2,331,281,200,116,269,0.431,35,113,0.31,64,83,0.771,41,171,62,50,12,91,82,2024-2025
112,Hofstra,4,2,2,0.5,-9.8,-10.05,1,1,1,1,256,255,160,92,235,0.391,24,64,0.375,48,73,0.658,55,160,47,22,8,64,65,2024-2025
113,Holy Cross,5,3,2,0.6,5.45,3.25,0,1,3,1,328,317,200,116,277,0.419,33,90,0.367,63,84,0.75,50,164,68,43,12,83,83,2024-2025
114,Houston,4,1,3,0.25,-5.45,1.05,1,1,0,2,217,243,160,79,219,0.361,16,62,0.258,43,65,0.662,40,140,37,24,9,57,56,2024-2025
115,Houston Christian,3,0,3,0,-6.95,13.72,0,0,0,3,133,195,120,53,150,0.353,10,40,0.25,17,31,0.548,39,116,19,16,5,81,52,2024-2025
116,Howard,5,3,2,0.6,-12,-6.8,1,1,2,1,278,304,200,104,290,0.359,19,101,0.188,51,82,0.622,60,183,52,36,25,84,101,2024-2025
117,Idaho,5,3,2,0.6,-2.93,-5.68,1,0,2,2,320,284,200,115,296,0.389,26,97,0.268,64,83,0.771,67,221,66,30,14,91,88,2024-2025
118,Idaho State,4,1,3,0.25,-10.01,14,1,1,0,2,246,279,160,94,238,0.395,26,69,0.377,32,55,0.582,55,153,54,29,20,67,74,2024-2025
119,Illinois,4,4,0,1,37.99,3.74,4,0,0,0,326,189,160,113,240,0.471,22,72,0.306,78,103,0.757,43,166,60,27,7,40,51,2024-2025
120,Illinois State,3,2,1,0.667,-9.51,-13.84,1,0,1,1,223,210,120,83,178,0.466,22,63,0.349,35,54,0.648,26,103,55,16,7,44,48,2024-2025
121,Illinois-Chicago,2,0,2,0,-0.74,6.76,0,2,0,0,125,140,80,42,114,0.368,16,40,0.4,25,32,0.781,25,64,28,12,5,27,41,2024-2025
122,Incarnate Word,5,3,2,0.6,-21.69,-0.69,3,0,0,2,291,317,201,101,279,0.362,22,74,0.297,67,97,0.691,66,177,71,49,13,96,92,2024-2025
123,Indiana,4,2,2,0.5,19.99,14.74,2,1,0,1,275,254,165,89,210,0.424,23,74,0.311,74,88,0.841,36,148,48,31,11,72,73,2024-2025
124,Indiana State,5,1,4,0.2,-7.65,4.35,0,2,1,2,280,340,200,94,269,0.349,21,70,0.3,71,102,0.696,59,187,42,42,13,111,82,2024-2025
125,Iona,4,0,4,0,-19.26,5.24,0,2,0,2,191,289,160,74,234,0.316,18,94,0.191,25,41,0.61,53,142,44,24,8,84,86,2024-2025
126,Iowa,5,5,0,1,24.77,4.77,2,0,1,0,413,313,200,156,308,0.506,32,102,0.314,69,92,0.75,47,194,89,36,20,69,84,2024-2025
127,Iowa State,5,4,1,0.8,15.14,-7.06,4,0,0,1,399,288,200,137,301,0.455,44,127,0.346,81,110,0.736,49,219,107,38,29,72,71,2024-2025
128,IU Indy,4,1,3,0.25,-5.07,1.18,1,1,0,2,308,333,160,101,220,0.459,34,82,0.415,72,89,0.809,24,119,53,31,9,71,69,2024-2025
129,Jackson State,4,1,3,0.25,-10.27,11.48,0,0,1,3,199,286,160,72,226,0.319,15,62,0.242,40,57,0.702,39,131,31,37,7,76,84,2024-2025
130,Jacksonville,5,3,2,0.6,1.71,0.46,2,0,1,2,338,312,200,111,294,0.378,19,68,0.279,97,137,0.708,80,203,48,34,9,86,115,2024-2025
131,Jacksonville State,4,3,1,0.75,2.34,-11.17,2,0,1,1,283,229,160,107,265,0.404,38,114,0.333,31,56,0.554,48,156,60,25,10,48,62,2024-2025
132,James Madison,6,5,1,0.833,11.94,-0.72,4,0,1,1,430,354,240,155,389,0.398,36,122,0.295,84,119,0.706,94,267,74,49,15,83,103,2024-2025
133,Kansas,5,4,1,0.8,9.9,-0.3,4,0,0,0,336,285,200,122,274,0.445,39,99,0.394,53,75,0.707,37,177,53,27,14,82,91,2024-2025
134,Kansas City,5,2,3,0.4,-23.5,-12.25,1,0,1,3,297,300,200,120,288,0.417,9,51,0.176,48,81,0.593,74,199,54,56,15,121,103,2024-2025
135,Kansas State,5,5,0,1,43.6,6.4,5,0,0,0,444,258,200,176,345,0.51,40,113,0.354,52,73,0.712,69,248,111,45,31,57,63,2024-2025
136,Kennesaw State,4,2,2,0.5,-6.93,8.57,2,1,0,1,274,236,160,97,238,0.408,18,66,0.273,62,88,0.705,58,155,55,41,17,79,70,2024-2025
137,Kent State,5,2,3,0.4,5.05,10.55,2,1,0,2,364,327,200,120,303,0.396,35,109,0.321,89,105,0.848,62,229,66,29,13,94,76,2024-2025
138,Kentucky,5,5,0,1,23.3,-4.7,5,0,0,0,394,254,205,147,321,0.458,38,123,0.309,62,81,0.765,67,227,104,30,58,67,77,2024-2025
139,La Salle,5,2,3,0.4,-15.2,-3,2,0,0,3,261,322,200,95,304,0.313,26,98,0.265,45,74,0.608,68,205,60,56,8,97,95,2024-2025
140,Lafayette,4,1,3,0.25,-13.07,9.44,1,1,0,2,204,294,160,80,227,0.352,21,82,0.256,23,28,0.821,32,121,33,22,3,60,40,2024-2025
141,Lamar,2,1,1,0.5,1.37,38.37,1,0,0,1,156,157,80,55,102,0.539,7,20,0.35,39,51,0.765,25,76,30,18,7,51,46,2024-2025
142,Le Moyne,5,0,5,0,-26.52,10.28,0,1,0,4,217,401,200,77,264,0.292,29,105,0.276,34,54,0.63,46,162,32,21,11,88,76,2024-2025
143,Lehigh,4,3,1,0.75,7.79,3.54,1,0,2,1,285,268,160,98,213,0.46,34,96,0.354,55,73,0.753,29,129,61,38,8,74,59,2024-2025
144,Liberty,4,2,2,0.5,13.16,9.41,1,1,0,1,309,294,160,111,234,0.474,37,84,0.44,50,72,0.694,45,151,68,28,19,82,67,2024-2025
145,Lindenwood,4,3,1,0.75,-3.67,-2.67,3,0,0,1,265,242,165,97,232,0.418,14,70,0.2,57,82,0.695,34,142,51,34,10,62,60,2024-2025
146,Lipscomb,6,5,1,0.833,-5.26,-5.66,4,0,1,1,442,390,240,160,393,0.407,64,203,0.315,58,86,0.674,86,237,79,47,13,93,96,2024-2025
147,Little Rock,4,1,3,0.25,-2.57,22.43,1,1,0,2,239,269,165,91,261,0.349,13,53,0.245,44,68,0.647,46,155,39,40,17,58,78,2024-2025
148,Long Beach State,3,2,1,0.667,-15.09,-10.76,1,0,1,1,201,214,130,69,193,0.358,16,47,0.34,47,65,0.723,47,129,40,29,10,56,58,2024-2025
149,Long Island University,6,1,5,0.167,-20.16,1.51,1,2,0,3,307,437,239,114,318,0.358,28,106,0.264,51,75,0.68,71,183,58,38,4,145,124,2024-2025
150,Longwood,6,4,2,0.667,-13.8,-18.55,2,0,2,2,448,337,240,168,408,0.412,36,112,0.321,76,110,0.691,101,258,95,88,16,121,101,2024-2025
151,Louisiana,2,1,1,0.5,-12.46,-10.46,1,0,0,1,129,107,80,53,134,0.396,11,24,0.458,12,24,0.5,28,75,18,28,1,25,34,2024-2025
152,Louisiana State,6,6,0,1,39.72,-1.45,6,0,0,0,564,317,240,216,425,0.508,29,85,0.341,103,142,0.725,98,315,107,66,31,94,108,2024-2025
153,Louisiana Tech,5,4,1,0.8,-6.66,-9.46,3,0,1,1,324,310,200,114,271,0.421,18,74,0.243,78,126,0.619,66,211,45,35,19,112,92,2024-2025
154,Louisiana-Monroe,4,3,1,0.75,0.22,5.22,2,1,1,0,315,249,160,118,272,0.434,19,79,0.241,60,84,0.714,68,176,59,47,22,53,58,2024-2025
155,Louisville,4,2,2,0.5,19.62,12.37,1,0,1,1,281,252,165,107,257,0.416,24,83,0.289,43,70,0.614,60,162,64,37,19,73,69,2024-2025
156,Loyola (IL),5,4,1,0.8,-7.64,-11.14,3,1,1,0,354,305,200,123,268,0.459,37,105,0.352,71,104,0.683,56,157,86,31,10,94,106,2024-2025
157,Loyola (MD),4,2,2,0.5,-9.53,-5.03,1,1,1,1,234,252,159,89,214,0.416,17,51,0.333,39,57,0.684,51,133,52,29,10,74,75,2024-2025
158,Loyola Marymount,3,2,1,0.667,-9.71,-3.71,1,0,1,1,229,183,125,88,189,0.466,26,72,0.361,27,50,0.54,37,109,54,33,10,36,54,2024-2025
159,Maine,4,2,2,0.5,-5.17,1.83,1,2,1,0,215,243,160,82,201,0.408,26,89,0.292,25,39,0.641,29,123,54,19,4,71,63,2024-2025
