Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Season
1,Abilene Christian,5,2,3,0.4,-7.69,1.56,1,2,1,1,336,316,200,118,317,0.372,40,154,0.26,60,77,0.779,77,183,69,57,10,103,109,2024-2025
2,Air Force,5,4,1,0.8,-7.95,-10.62,3,0,1,1,362,305,205,142,325,0.437,27,104,0.26,51,72,0.708,57,176,61,66,13,66,85,2024-2025
3,Akron,4,2,2,0.5,-6.52,-5.77,2,1,0,1,269,272,160,92,233,0.395,27,73,0.37,58,80,0.725,46,138,49,21,11,59,67,2024-2025
4,Alabama,6,6,0,1,22.97,-5.7,4,0,2,0,524,352,240,195,413,0.472,53,156,0.34,81,135,0.6,91,263,93,74,34,82,94,2024-2025
5,Alabama A&M,4,2,2,0.5,-9.03,-4.53,1,2,1,0,249,267,160,82,228,0.36,20,65,0.308,65,97,0.67,61,143,50,38,10,71,81,2024-2025
6,Alabama State,4,2,2,0.5,-23.61,20.89,2,0,0,2,204,276,160,72,231,0.312,15,79,0.19,45,69,0.652,57,148,36,33,10,83,77,2024-2025
7,Albany (NY),4,4,0,1,2.94,-4.56,2,0,2,0,259,229,160,98,218,0.45,21,65,0.323,42,50,0.84,44,132,47,28,10,69,55,2024-2025
8,Alcorn State,6,1,5,0.167,-9.51,15.89,1,0,0,5,378,455,240,140,355,0.394,25,106,0.236,73,115,0.635,73,217,74,56,17,113,127,2024-2025
9,American,4,0,4,0,-21.81,-6.31,0,2,0,2,213,275,160,78,235,0.332,16,75,0.213,41,61,0.672,50,167,47,22,15,75,57,2024-2025
10,Appalachian State,4,2,2,0.5,-26.48,-6.48,2,0,0,2,301,230,160,114,240,0.475,30,92,0.326,43,75,0.573,57,170,68,39,9,70,70,2024-2025
11,Arizona,6,5,1,0.833,3.61,-9.89,3,0,2,1,434,353,240,155,352,0.44,32,107,0.299,92,122,0.754,63,245,80,64,26,114,125,2024-2025
12,Arizona State,5,3,2,0.6,8.25,4.45,3,1,0,0,388,369,200,143,312,0.458,27,82,0.329,75,94,0.798,54,199,74,39,23,89,109,2024-2025
13,Arkansas,5,3,2,0.6,-1.7,-0.7,2,1,1,1,367,372,205,126,317,0.397,47,144,0.326,68,88,0.773,43,199,51,10,17,78,70,2024-2025
14,Arkansas State,4,2,2,0.5,5.92,-6.83,1,0,1,2,307,256,160,110,268,0.41,48,133,0.361,39,60,0.65,49,146,64,51,13,64,75,2024-2025
15,Arkansas-Pine Bluff,5,2,3,0.4,-28.3,10.71,2,0,0,3,261,321,200,97,296,0.328,23,103,0.223,44,58,0.759,71,182,55,54,18,103,104,2024-2025
16,Army,6,5,1,0.833,-8.23,-14.39,3,1,2,0,368,331,250,126,324,0.389,40,116,0.345,76,102,0.745,49,205,71,37,18,86,78,2024-2025
17,Auburn,4,3,1,0.75,25.39,3.39,3,0,0,1,343,185,160,131,264,0.496,27,57,0.474,54,77,0.701,63,156,73,66,17,58,71,2024-2025
18,Austin Peay,4,1,3,0.25,-4.16,10.84,0,1,1,2,215,272,160,83,209,0.397,17,66,0.258,32,62,0.516,42,128,39,25,16,85,101,2024-2025
19,Ball State,4,4,0,1,22.28,3.53,3,0,1,0,320,245,160,117,273,0.429,29,112,0.259,57,77,0.74,54,173,71,46,21,60,69,2024-2025
20,Baylor,4,3,1,0.75,26.61,-3.89,3,0,0,1,328,206,160,121,274,0.442,30,94,0.319,56,81,0.691,64,180,72,48,19,54,59,2024-2025
21,Bellarmine,5,3,2,0.6,2.22,-4.11,2,0,1,2,413,327,200,145,341,0.425,39,118,0.331,84,112,0.75,74,215,82,47,16,84,101,2024-2025
22,Belmont,4,2,2,0.5,21.57,17.07,1,1,1,1,269,251,160,96,250,0.384,27,103,0.262,50,66,0.758,51,173,49,42,21,60,72,2024-2025
23,Bethune-Cookman,5,2,3,0.4,-27.84,-2.51,2,0,0,3,362,280,200,137,316,0.434,14,53,0.264,74,123,0.602,81,216,76,66,15,84,80,2024-2025
24,Binghamton,5,2,3,0.4,-12.76,-6.01,2,1,0,2,313,295,200,111,279,0.398,34,105,0.324,57,76,0.75,59,172,52,50,13,80,68,2024-2025
25,Boise State,4,4,0,1,6.89,-2.11,4,0,0,0,295,195,160,113,253,0.447,29,98,0.296,40,54,0.741,48,172,57,38,33,65,54,2024-2025
26,Boston College,6,5,1,0.833,20.6,-5.06,5,0,0,1,496,342,240,181,395,0.458,42,114,0.368,92,123,0.748,79,230,112,80,16,76,91,2024-2025
27,Boston University,3,1,2,0.333,-18.19,-1.19,1,0,0,2,152,203,120,49,141,0.348,18,51,0.353,36,46,0.783,21,96,25,16,12,68,52,2024-2025
28,Bowling Green State,5,2,3,0.4,5.52,3.52,2,0,0,3,344,334,200,122,286,0.427,31,88,0.352,69,94,0.734,60,182,64,34,17,93,99,2024-2025
